experiment,size,nodes_per_community,nominal_bridge_width,mean_bridge_width,seed,requested_delta,discreteness_threshold,above_threshold,direction,expected,measured,absolute_error,relative_error,achieved_delta,noop,edge_count_preserved
RQ7,small,6,4,4.0,0,0.1,0.125,False,increase,4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,0,-0.1,0.125,False,decrease,-4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,0,0.25,0.125,True,increase,4.0,4.0,0.0,0.0,0.25,False,True
RQ7,small,6,4,4.0,0,-0.25,0.125,True,decrease,-4.0,-4.0,0.0,0.0,-0.25,False,True
RQ7,small,6,4,4.0,1,0.1,0.125,False,increase,4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,1,-0.1,0.125,False,decrease,-4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,1,0.25,0.125,True,increase,4.0,4.0,0.0,0.0,0.25,False,True
RQ7,small,6,4,4.0,1,-0.25,0.125,True,decrease,-4.0,-4.0,0.0,0.0,-0.25,False,True
RQ7,small,6,4,4.0,2,0.1,0.125,False,increase,4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,2,-0.1,0.125,False,decrease,-4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,2,0.25,0.125,True,increase,4.0,4.0,0.0,0.0,0.25,False,True
RQ7,small,6,4,4.0,2,-0.25,0.125,True,decrease,-4.0,-4.0,0.0,0.0,-0.25,False,True
RQ7,small,6,4,4.0,3,0.1,0.125,False,increase,4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,3,-0.1,0.125,False,decrease,-4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,3,0.25,0.125,True,increase,4.0,4.0,0.0,0.0,0.25,False,True
RQ7,small,6,4,4.0,3,-0.25,0.125,True,decrease,-4.0,-4.0,0.0,0.0,-0.25,False,True
RQ7,small,6,4,4.0,4,0.1,0.125,False,increase,4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,4,-0.1,0.125,False,decrease,-4.0,0.0,4.0,1.0,0.0,True,True
RQ7,small,6,4,4.0,4,0.25,0.125,True,increase,4.0,4.0,0.0,0.0,0.25,False,True
RQ7,small,6,4,4.0,4,-0.25,0.125,True,decrease,-4.0,-4.0,0.0,0.0,-0.25,False,True
RQ7,medium,15,8,8.0,0,0.1,0.0625,True,increase,8.0,8.0,0.0,0.0,0.125,False,True
RQ7,medium,15,8,8.0,0,-0.1,0.0625,True,decrease,-8.0,-8.0,0.0,0.0,-0.125,False,True
RQ7,medium,15,8,8.0,0,0.25,0.0625,True,increase,8.0,8.0,0.0,0.0,0.25,False,True
