experiment,model,reference_concept,concept,direction,comparable,reason,achieved_gap,reference_requested_delta,reference_achieved_delta,reference_baseline,reference_transformed,reference_impact,concept_requested_delta,concept_achieved_delta,concept_baseline,concept_transformed,concept_impact,comparison_outcome,reference_larger,seed
RQ1b,A-pure-bridge (mean),Bridge Width,Centralization,increase,True,matched,0.012345679012345586,0.75,0.75,8.0,14.0,8.0,0.05,0.7407407407407408,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-pure-bridge (mean),Bridge Width,Centralization,decrease,True,matched,0.012345679012345586,-0.75,-0.75,8.0,2.0,-8.0,-0.15,-0.7407407407407408,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-pure-bridge (mean),Bridge Width,Density,increase,True,matched,0.0,0.5,0.5,8.0,12.0,8.0,0.5,0.5,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-pure-bridge (mean),Bridge Width,Density,decrease,True,matched,0.0,-0.5,-0.5,8.0,4.0,-8.0,-0.5,-0.5,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-pure-bridge (mean),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,A-pure-bridge (mean),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,A-pure-bridge (mean),Bridge Width,Churn,increase,True,matched,0.014147186393769884,0.5,0.5,8.0,12.0,8.0,0.1,0.49292640680311506,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-pure-bridge (mean),Bridge Width,Churn,decrease,True,matched,0.022688407043735058,-0.9,-0.875,8.0,1.0,-8.0,-0.9,-0.8953132310169543,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-persistence (last),Bridge Width,Centralization,increase,True,matched,0.012345679012345586,0.75,0.75,8.0,14.0,8.0,0.05,0.7407407407407408,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-persistence (last),Bridge Width,Centralization,decrease,True,matched,0.012345679012345586,-0.75,-0.75,8.0,2.0,-8.0,-0.15,-0.7407407407407408,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-persistence (last),Bridge Width,Density,increase,True,matched,0.0,0.5,0.5,8.0,12.0,8.0,0.5,0.5,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-persistence (last),Bridge Width,Density,decrease,True,matched,0.0,-0.5,-0.5,8.0,4.0,-8.0,-0.5,-0.5,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-persistence (last),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,A-persistence (last),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,A-persistence (last),Bridge Width,Churn,increase,True,matched,0.014147186393769884,0.5,0.5,8.0,12.0,8.0,0.1,0.49292640680311506,8.0,8.0,0.0,reference_larger,True,0
RQ1b,A-persistence (last),Bridge Width,Churn,decrease,True,matched,0.022688407043735058,-0.9,-0.875,8.0,1.0,-8.0,-0.9,-0.8953132310169543,8.0,8.0,0.0,reference_larger,True,0
RQ1b,B-pure-centralization,Centralization,Bridge Width,increase,True,matched,0.012345679012345586,0.05,0.7407407407407408,0.19950738916256158,0.3472906403940887,0.19950738916256158,0.75,0.75,0.19950738916256158,0.13177339901477833,-0.090311986863711,reference_larger,True,0
RQ1b,B-pure-centralization,Centralization,Bridge Width,decrease,True,matched,0.012345679012345586,-0.15,-0.7407407407407408,0.19950738916256158,0.05172413793103448,-0.19950738916256158,-0.75,-0.75,0.19950738916256158,0.1625615763546798,-0.04926108374384238,reference_larger,True,0
RQ1b,B-pure-centralization,Centralization,Density,increase,True,matched,0.012345679012345586,0.05,0.7407407407407408,0.19950738916256158,0.3472906403940887,0.19950738916256158,0.75,0.75,0.19950738916256158,0.11822660098522166,-0.10837438423645324,reference_larger,True,0
RQ1b,B-pure-centralization,Centralization,Density,decrease,True,matched,0.012345679012345586,-0.15,-0.7407407407407408,0.19950738916256158,0.05172413793103448,-0.19950738916256158,-0.75,-0.75,0.19950738916256158,0.0899014778325123,-0.14614121510673236,reference_larger,True,0
RQ1b,B-pure-centralization,Centralization,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,B-pure-centralization,Centralization,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,B-pure-centralization,Centralization,Churn,increase,True,matched,0.01435395824445567,0.02,0.37037037037037035,0.19950738916256158,0.2733990147783251,0.19950738916256155,0.075,0.37576407217209523,0.19950738916256158,0.17487684729064037,-0.06554788947635401,reference_larger,True,0
RQ1b,B-pure-centralization,Centralization,Churn,decrease,True,matched,0.017829965516652627,-0.02,-0.24691358024691354,0.19950738916256158,0.15024630541871922,-0.19950738916256158,-0.3,-0.24251111962551783,0.19950738916256158,0.19950738916256158,0.0,reference_larger,True,0
RQ1b,C-weighted (2bw+3c),Bridge Width,Centralization,increase,True,matched,0.012345679012345586,0.75,0.75,16.598522167487683,28.395320197044335,15.729064039408868,0.05,0.7407407407407408,16.598522167487683,17.041871921182267,0.5985221674876878,reference_larger,True,0
RQ1b,C-weighted (2bw+3c),Bridge Width,Centralization,decrease,True,matched,0.012345679012345586,-0.75,-0.75,16.598522167487683,4.487684729064039,-16.147783251231527,-0.15,-0.7407407407407408,16.598522167487683,16.155172413793103,-0.598522167487683,reference_larger,True,0
RQ1b,C-weighted (2bw+3c),Bridge Width,Density,increase,True,matched,0.0,0.5,0.5,16.598522167487683,24.598522167487683,16.0,0.5,0.5,16.598522167487683,16.454433497536947,-0.2881773399014733,reference_larger,True,0
RQ1b,C-weighted (2bw+3c),Bridge Width,Density,decrease,True,matched,0.0,-0.5,-0.5,16.598522167487683,8.598522167487685,-15.999999999999996,-0.5,-0.5,16.598522167487683,16.373152709359605,-0.4507389162561566,reference_larger,True,0
RQ1b,C-weighted (2bw+3c),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,C-weighted (2bw+3c),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,C-weighted (2bw+3c),Bridge Width,Churn,increase,True,matched,0.014147186393769884,0.5,0.5,16.598522167487683,24.598522167487683,16.0,0.1,0.49292640680311506,16.598522167487683,16.50615763546798,-0.18737996330676787,reference_larger,True,0
RQ1b,C-weighted (2bw+3c),Bridge Width,Churn,decrease,True,matched,0.022688407043735058,-0.9,-0.875,16.598522167487683,2.5061576354679804,-16.105559465165374,-0.9,-0.8953132310169543,16.598522167487683,16.580049261083744,-0.02063289781047555,reference_larger,True,0
RQ1b,D-slope-of-bridge,Bridge Trend,Bridge Width,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,D-slope-of-bridge,Bridge Trend,Bridge Width,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,D-slope-of-bridge,Bridge Trend,Centralization,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,D-slope-of-bridge,Bridge Trend,Centralization,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,D-slope-of-bridge,Bridge Trend,Density,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,D-slope-of-bridge,Bridge Trend,Density,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,D-slope-of-bridge,Bridge Trend,Churn,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,D-slope-of-bridge,Bridge Trend,Churn,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,0
RQ1b,A-pure-bridge (mean),Bridge Width,Centralization,increase,True,matched,0.014166666666666645,0.9,0.875,8.0,15.0,8.0,0.05,0.8875739644970414,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-pure-bridge (mean),Bridge Width,Centralization,decrease,True,matched,0.005882352941176501,-0.5,-0.5,8.0,4.0,-8.0,-0.075,-0.5029585798816568,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-pure-bridge (mean),Bridge Width,Density,increase,True,matched,0.0035714285714285683,0.75,0.75,8.0,14.0,8.0,0.75,0.7526881720430108,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-pure-bridge (mean),Bridge Width,Density,decrease,True,matched,0.0035714285714285683,-0.75,-0.75,8.0,2.0,-8.0,-0.75,-0.7526881720430108,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-pure-bridge (mean),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,A-pure-bridge (mean),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,A-pure-bridge (mean),Bridge Width,Churn,increase,True,matched,0.026871279391202627,0.9,0.875,8.0,15.0,8.0,0.15,0.8991616231947124,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-pure-bridge (mean),Bridge Width,Churn,decrease,True,matched,0.012176054311618797,-0.75,-0.75,8.0,2.0,-8.0,-0.75,-0.7408679592662859,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-persistence (last),Bridge Width,Centralization,increase,True,matched,0.014166666666666645,0.9,0.875,8.0,15.0,8.0,0.05,0.8875739644970414,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-persistence (last),Bridge Width,Centralization,decrease,True,matched,0.005882352941176501,-0.5,-0.5,8.0,4.0,-8.0,-0.075,-0.5029585798816568,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-persistence (last),Bridge Width,Density,increase,True,matched,0.0035714285714285683,0.75,0.75,8.0,14.0,8.0,0.75,0.7526881720430108,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-persistence (last),Bridge Width,Density,decrease,True,matched,0.0035714285714285683,-0.75,-0.75,8.0,2.0,-8.0,-0.75,-0.7526881720430108,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-persistence (last),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,A-persistence (last),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,1
RQ1b,A-persistence (last),Bridge Width,Churn,increase,True,matched,0.026871279391202627,0.9,0.875,8.0,15.0,8.0,0.15,0.8991616231947124,8.0,8.0,0.0,reference_larger,True,1
RQ1b,A-persistence (last),Bridge Width,Churn,decrease,True,matched,0.012176054311618797,-0.75,-0.75,8.0,2.0,-8.0,-0.75,-0.7408679592662859,8.0,8.0,0.0,reference_larger,True,1
RQ1b,B-pure-centralization,Centralization,Bridge Width,increase,True,matched,0.014166666666666645,0.05,0.8875739644970414,0.20812807881773399,0.39285714285714285,0.20812807881773399,0.9,0.875,0.20812807881773399,0.1834975369458128,-0.028149190710767064,reference_larger,True,1
