snapshot_index,label,nodes,active_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
0,2010-11-08,120,12,14,0.00196078431372549,0.23333333333333334,4,1,109,False
1,2011-02-06,120,21,42,0.0058823529411764705,0.7,12,3,100,False
2,2011-05-07,120,54,122,0.017086834733893556,2.033333333333333,12,17,68,False
3,2011-08-05,120,40,74,0.010364145658263305,1.2333333333333334,10,18,81,False
4,2011-11-03,120,50,129,0.018067226890756304,2.15,20,27,72,False
5,2012-02-01,120,59,159,0.02226890756302521,2.65,17,38,62,False
6,2012-05-01,120,69,195,0.0273109243697479,3.25,17,84,52,False
7,2012-07-30,120,75,201,0.02815126050420168,3.35,16,92,46,False
8,2012-10-28,120,75,179,0.025070028011204483,2.9833333333333334,23,67,46,False
9,2013-01-26,120,83,156,0.021848739495798318,2.6,23,43,38,False
10,2013-04-26,120,69,131,0.01834733893557423,2.183333333333333,16,35,54,False
11,2013-07-25,120,61,112,0.01568627450980392,1.8666666666666667,13,41,61,False
12,2013-10-23,120,61,119,0.016666666666666666,1.9833333333333334,21,33,60,False
13,2014-01-21,120,56,93,0.013025210084033614,1.55,14,34,65,False
14,2014-04-21,120,53,87,0.012184873949579832,1.45,17,22,68,False
15,2014-07-20,120,47,84,0.011764705882352941,1.4,15,20,75,False
16,2014-10-18,120,43,55,0.007703081232492998,0.9166666666666666,10,18,79,False
17,2015-01-16,120,4,2,0.00028011204481792715,0.03333333333333333,1,1,118,False
18,2015-04-16,120,9,7,0.000980392156862745,0.11666666666666667,4,4,113,False
19,2015-07-15,120,2,1,0.00014005602240896358,0.016666666666666666,1,1,119,False
