dataset,transformation,property,before,after,change,delta
bitcoin_alpha,Bridge Width,bridge width,29.95,32.85,2.900000000000002,0.1
bitcoin_alpha,Bridge Width,centralization,0.09968665432274604,0.09498646916393676,-0.004700185158809281,0.1
bitcoin_alpha,Bridge Width,density,0.013739495798319328,0.013739495798319328,0.0,0.1
bitcoin_alpha,Bridge Width,clustering,0.05628446663515313,0.053652869953049145,-0.0026315966821039843,0.1
bitcoin_alpha,Centralization,bridge width,29.95,29.95,0.0,0.1
bitcoin_alpha,Centralization,centralization,0.09968665432274604,0.1834354080615297,0.08374875373878365,0.1
bitcoin_alpha,Centralization,density,0.013739495798319328,0.013739495798319328,0.0,0.1
bitcoin_alpha,Centralization,clustering,0.05628446663515313,0.07416436253640818,0.01787989590125505,0.1
bitcoin_alpha,Density,bridge width,29.95,29.95,0.0,0.1
bitcoin_alpha,Density,centralization,0.09968665432274604,0.09957271044010825,-0.00011394388263778754,0.1
bitcoin_alpha,Density,density,0.013739495798319328,0.015112044817927172,0.0013725490196078438,0.1
bitcoin_alpha,Density,clustering,0.05628446663515313,0.05583101733627545,-0.00045344929887768115,0.1
bitcoin_alpha,Bridge Trend,bridge width,29.95,17.3,-12.649999999999999,0.1
bitcoin_alpha,Bridge Trend,centralization,0.09968665432274604,0.09156815268480273,-0.00811850163794331,0.1
bitcoin_alpha,Bridge Trend,density,0.013739495798319328,0.013739495798319328,0.0,0.1
bitcoin_alpha,Bridge Trend,clustering,0.05628446663515313,0.049615065298783664,-0.006669401336369465,0.1
bitcoin_alpha,Churn,bridge width,29.95,29.95,0.0,0.1
bitcoin_alpha,Churn,centralization,0.09968665432274604,0.09968665432274604,0.0,0.1
bitcoin_alpha,Churn,density,0.013739495798319328,0.013739495798319328,0.0,0.1
bitcoin_alpha,Churn,clustering,0.05628446663515313,0.05628446663515313,0.0,0.1
