dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
bitcoin_alpha,20,persistence_bridge_width,Bridge Width,increase,0.1,0.09682804674457436,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Width,decrease,-0.1,-0.09682804674457425,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Centralization,increase,0.1,0.8401200171453066,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Centralization,decrease,-0.1,-0.37291041577368195,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Density,increase,0.1,0.09989806320081561,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Density,decrease,-0.1,-0.09887869520897033,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Trend,increase,0.1,0.952631578947369,absolute,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Trend,decrease,-0.1,-9.4203007518797,absolute,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Churn,increase,0.1,0.0,relative,1.0,1.0,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_bridge_width,Churn,decrease,-0.1,0.0,relative,1.0,1.0,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Width,increase,0.25,0.24874791318864772,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Width,decrease,-0.25,-0.24874791318864772,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Centralization,increase,0.25,1.8559794256322335,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Centralization,decrease,-0.25,-0.5872267466780969,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Density,increase,0.25,0.24974515800203875,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Density,decrease,-0.25,-0.24974515800203875,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Trend,increase,0.25,1.0142857142857147,absolute,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Trend,decrease,-0.25,-154.6887218045114,absolute,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Churn,increase,0.25,0.0,relative,1.0,1.0,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_bridge_width,Churn,decrease,-0.25,0.0,relative,1.0,1.0,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Width,increase,0.5,0.5008347245409016,relative,1.0,2.0,1.0,1.9966666666666661,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Width,decrease,-0.5,-0.4958263772954925,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Centralization,increase,0.5,1.9502786112301758,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Centralization,decrease,-0.5,-0.7458208315473639,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Density,increase,0.5,0.4989806320081551,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Density,decrease,-0.5,-0.4954128440366972,relative,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Trend,increase,0.5,0.9909774436090231,absolute,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Bridge Trend,decrease,-0.5,-253.37443609022563,absolute,1.0,1.0,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_bridge_width,Churn,increase,0.5,0.0,relative,1.0,1.0,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_bridge_width,Churn,decrease,-0.5,0.0,relative,1.0,1.0,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_bridge_width,Bridge Width,increase,0.1,0.09682804674457436,relative,20.67368421052631,22.515789473684197,1.8421052631578867,19.02450090744092,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Width,decrease,-0.1,-0.09682804674457425,relative,20.67368421052631,18.83157894736841,-1.842105263157901,-19.024500907441087,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Centralization,increase,0.1,0.8401200171453066,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Centralization,decrease,-0.1,-0.37291041577368195,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Density,increase,0.1,0.09989806320081561,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Density,decrease,-0.1,-0.09887869520897033,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Trend,increase,0.1,0.952631578947369,absolute,20.67368421052631,18.02631578947369,-2.6473684210526223,-2.779005524861867,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Trend,decrease,-0.1,-9.4203007518797,absolute,20.67368421052631,-20.489473684210537,-41.16315789473685,-4.369622475856014,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Churn,increase,0.1,0.0,relative,20.67368421052631,20.67368421052631,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_bridge_width,Churn,decrease,-0.1,0.0,relative,20.67368421052631,20.67368421052631,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_bridge_width,Bridge Width,increase,0.25,0.24874791318864772,relative,20.67368421052631,25.69999999999999,5.026315789473678,20.20646414694452,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Width,decrease,-0.25,-0.24874791318864772,relative,20.67368421052631,15.647368421052622,-5.0263157894736885,-20.206464146944562,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Centralization,increase,0.25,1.8559794256322335,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Centralization,decrease,-0.25,-0.5872267466780969,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Density,increase,0.25,0.24974515800203875,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Density,decrease,-0.25,-0.24974515800203875,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Trend,increase,0.25,1.0142857142857147,absolute,20.67368421052631,12.773684210526316,-7.899999999999995,-7.788732394366189,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Trend,decrease,-0.25,-154.6887218045114,absolute,20.67368421052631,-845.5578947368435,-866.2315789473698,-5.599836683905592,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Churn,increase,0.25,0.0,relative,20.67368421052631,20.67368421052631,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_bridge_width,Churn,decrease,-0.25,0.0,relative,20.67368421052631,20.67368421052631,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_bridge_width,Bridge Width,increase,0.5,0.5008347245409016,relative,20.67368421052631,31.189473684210512,10.515789473684201,20.99652631578945,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Width,decrease,-0.5,-0.4958263772954925,relative,20.67368421052631,10.42631578947368,-10.24736842105263,-20.6672514619883,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Centralization,increase,0.5,1.9502786112301758,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Centralization,decrease,-0.5,-0.7458208315473639,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Density,increase,0.5,0.4989806320081551,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Density,decrease,-0.5,-0.4954128440366972,relative,20.67368421052631,20.67368421052631,0.0,0.0,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Trend,increase,0.5,0.9909774436090231,absolute,20.67368421052631,8.478947368421053,-12.194736842105257,-12.305766312594828,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Bridge Trend,decrease,-0.5,-253.37443609022563,absolute,20.67368421052631,-500.557894736844,-521.2315789473703,-2.057159305375866,achieved,False,42
bitcoin_alpha,20,trend_bridge_width,Churn,increase,0.5,0.0,relative,20.67368421052631,20.67368421052631,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_bridge_width,Churn,decrease,-0.5,0.0,relative,20.67368421052631,20.67368421052631,0.0,0.0,requested,True,42
bitcoin_alpha,20,slope_bridge_width,Bridge Width,increase,0.1,0.09682804674457436,relative,-0.8834586466165419,-0.9842105263157903,-0.10075187969924837,-1.0405237231008575,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Bridge Width,decrease,-0.1,-0.09682804674457425,relative,-0.8834586466165419,-0.7827067669172942,0.1007518796992477,1.0405237231008517,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Centralization,increase,0.1,0.8401200171453066,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Centralization,decrease,-0.1,-0.37291041577368195,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Density,increase,0.1,0.09989806320081561,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Density,decrease,-0.1,-0.09887869520897033,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Bridge Trend,increase,0.1,0.952631578947369,absolute,-0.8834586466165419,0.06917293233082715,0.952631578947369,1.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Bridge Trend,decrease,-0.1,-9.4203007518797,absolute,-0.8834586466165419,-10.303759398496243,-9.4203007518797,-1.0,achieved,False,42
bitcoin_alpha,20,slope_bridge_width,Churn,increase,0.1,0.0,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,requested,True,42
bitcoin_alpha,20,slope_bridge_width,Churn,decrease,-0.1,0.0,relative,-0.8834586466165419,-0.8834586466165419,0.0,0.0,requested,True,42
bitcoin_alpha,20,slope_bridge_width,Bridge Width,increase,0.25,0.24874791318864772,relative,-0.8834586466165419,-1.1142857142857145,-0.2308270676691726,-0.9279557955290899,achieved,False,42
