dataset,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
bitcoin_alpha,Bridge Width,structural,True,0,0.1,20,15,0.75,False,True
bitcoin_alpha,Bridge Width,structural,True,0,-0.1,20,15,0.75,False,True
bitcoin_alpha,Bridge Width,structural,True,0,0.25,20,17,0.85,False,True
bitcoin_alpha,Bridge Width,structural,True,0,-0.25,20,17,0.85,False,True
bitcoin_alpha,Bridge Width,structural,True,1,0.5,20,20,1.0,True,False
bitcoin_alpha,Bridge Width,structural,True,0,-0.5,20,17,0.85,False,True
bitcoin_alpha,Centralization,structural,True,0,0.1,20,18,0.9,False,True
bitcoin_alpha,Centralization,structural,True,0,-0.1,20,18,0.9,False,True
bitcoin_alpha,Centralization,structural,True,0,0.25,20,18,0.9,False,True
bitcoin_alpha,Centralization,structural,True,0,-0.25,20,18,0.9,False,True
bitcoin_alpha,Centralization,structural,True,0,0.5,20,19,0.95,False,True
bitcoin_alpha,Centralization,structural,True,0,-0.5,20,19,0.95,False,True
bitcoin_alpha,Density,structural,False,0,0.1,20,18,0.9,False,True
bitcoin_alpha,Density,structural,False,0,-0.1,20,18,0.9,False,True
bitcoin_alpha,Density,structural,False,0,0.25,20,18,0.9,False,True
bitcoin_alpha,Density,structural,False,0,-0.25,20,18,0.9,False,True
bitcoin_alpha,Density,structural,False,0,0.5,20,20,1.0,True,False
bitcoin_alpha,Density,structural,False,0,-0.5,20,19,0.95,False,True
bitcoin_alpha,Bridge Trend,temporal,True,0,0.1,20,16,0.8,False,False
bitcoin_alpha,Bridge Trend,temporal,True,5,-0.1,20,18,0.9,False,False
bitcoin_alpha,Bridge Trend,temporal,True,0,0.25,20,17,0.85,False,False
bitcoin_alpha,Bridge Trend,temporal,True,15,-0.25,20,19,0.95,False,False
bitcoin_alpha,Bridge Trend,temporal,True,0,0.5,20,17,0.85,False,False
bitcoin_alpha,Bridge Trend,temporal,True,19,-0.5,20,19,0.95,False,False
bitcoin_alpha,Churn,temporal,True,0,0.1,20,0,0.0,False,False
bitcoin_alpha,Churn,temporal,True,0,-0.1,20,0,0.0,False,False
bitcoin_alpha,Churn,temporal,True,0,0.25,20,0,0.0,False,False
bitcoin_alpha,Churn,temporal,True,0,-0.25,20,0,0.0,False,False
bitcoin_alpha,Churn,temporal,True,0,0.5,20,0,0.0,False,False
bitcoin_alpha,Churn,temporal,True,0,-0.5,20,0,0.0,False,False
