snapshot_index,label,nodes,active_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
0,2010-11-08,120,10,8,0.0011204481792717086,0.13333333333333333,4,1,112,False
1,2011-02-06,120,16,27,0.003781512605042017,0.45,9,2,105,False
2,2011-05-07,120,39,68,0.009523809523809525,1.1333333333333333,9,12,83,False
3,2011-08-05,120,32,58,0.008123249299719889,0.9666666666666667,10,4,89,False
4,2011-11-03,120,42,109,0.01526610644257703,1.8166666666666667,17,8,79,False
5,2012-02-01,120,52,123,0.017226890756302522,2.05,13,11,69,False
6,2012-05-01,120,64,169,0.023669467787114845,2.816666666666667,16,56,57,False
7,2012-07-30,120,66,181,0.02535014005602241,3.0166666666666666,15,67,55,False
8,2012-10-28,120,73,178,0.02492997198879552,2.966666666666667,23,79,48,False
9,2013-01-26,120,85,182,0.025490196078431372,3.033333333333333,22,61,36,False
10,2013-04-26,120,75,159,0.02226890756302521,2.65,16,49,48,False
11,2013-07-25,120,74,149,0.020868347338935573,2.4833333333333334,14,52,48,False
12,2013-10-23,120,66,134,0.01876750700280112,2.2333333333333334,22,44,55,False
13,2014-01-21,120,52,100,0.014005602240896359,1.6666666666666667,14,32,69,False
14,2014-04-21,120,57,97,0.013585434173669468,1.6166666666666667,18,29,64,False
15,2014-07-20,120,49,86,0.012044817927170869,1.4333333333333333,15,19,73,False
16,2014-10-18,120,45,60,0.008403361344537815,1.0,9,18,77,False
17,2015-01-16,120,35,33,0.004621848739495798,0.55,4,12,90,False
18,2015-04-16,120,25,23,0.0032212885154061623,0.38333333333333336,5,8,98,False
19,2015-07-15,120,25,29,0.004061624649859944,0.48333333333333334,7,6,97,False
20,2015-10-13,120,20,17,0.002380952380952381,0.2833333333333333,3,6,104,False
