dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
bitcoin_otc,21,persistence_bridge_width,Bridge Width,increase,0.1,0.10069444444444448,relative,6.0,7.0,1.0,9.931034482758617,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Width,decrease,-0.1,-0.10069444444444435,relative,6.0,5.0,-1.0,-9.93103448275863,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Centralization,increase,0.1,0.8626887131560029,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Centralization,decrease,-0.1,-0.37095614665708126,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Density,increase,0.1,0.10050251256281417,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Density,decrease,-0.1,-0.10050251256281402,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Trend,increase,0.1,0.4467532467532469,absolute,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Trend,decrease,-0.1,-9.690909090909086,absolute,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Churn,increase,0.1,0.0,relative,6.0,6.0,0.0,0.0,requested,True,42
bitcoin_otc,21,persistence_bridge_width,Churn,decrease,-0.1,-0.08852216678809652,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Width,increase,0.25,0.25000000000000006,relative,6.0,8.0,2.0,7.999999999999998,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Width,decrease,-0.25,-0.2499999999999999,relative,6.0,4.0,-2.0,-8.000000000000004,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Centralization,increase,0.25,1.8073328540618259,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Centralization,decrease,-0.25,-0.5607476635514019,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Density,increase,0.25,0.249748743718593,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Density,decrease,-0.25,-0.24723618090452265,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Trend,increase,0.25,0.4818181818181819,absolute,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Trend,decrease,-0.25,-172.60909090909098,absolute,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Churn,increase,0.25,0.0,relative,6.0,6.0,0.0,0.0,requested,True,42
bitcoin_otc,21,persistence_bridge_width,Churn,decrease,-0.25,-0.1488855683887474,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Width,increase,0.5,0.5000000000000002,relative,6.0,9.0,3.0,5.999999999999997,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Width,decrease,-0.5,-0.49826388888888884,relative,6.0,3.0,-3.0,-6.020905923344948,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Centralization,increase,0.5,1.9583033788641266,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Centralization,decrease,-0.5,-0.7375988497483824,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Density,increase,0.5,0.5010050251256282,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Density,decrease,-0.5,-0.48793969849246227,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Trend,increase,0.5,0.40389610389610386,absolute,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Bridge Trend,decrease,-0.5,-234.5090909090909,absolute,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,persistence_bridge_width,Churn,increase,0.5,0.0,relative,6.0,6.0,0.0,0.0,requested,True,42
bitcoin_otc,21,persistence_bridge_width,Churn,decrease,-0.5,-0.20939981073999947,relative,6.0,6.0,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Width,increase,0.1,0.10069444444444448,relative,26.25714285714285,29.07619047619048,2.8190476190476303,27.996059113300596,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Width,decrease,-0.1,-0.10069444444444435,relative,26.25714285714285,23.43809523809524,-2.819047619047609,-27.99605911330042,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Centralization,increase,0.1,0.8626887131560029,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Centralization,decrease,-0.1,-0.37095614665708126,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Density,increase,0.1,0.10050251256281417,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Density,decrease,-0.1,-0.10050251256281402,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Trend,increase,0.1,0.4467532467532469,absolute,26.25714285714285,20.40952380952381,-5.8476190476190375,-13.089147286821678,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Trend,decrease,-0.1,-9.690909090909086,absolute,26.25714285714285,-16.771428571428544,-43.0285714285714,-4.440096488876976,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Churn,increase,0.1,0.0,relative,26.25714285714285,26.25714285714285,0.0,0.0,requested,True,42
bitcoin_otc,21,trend_bridge_width,Churn,decrease,-0.1,-0.08852216678809652,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Width,increase,0.25,0.25000000000000006,relative,26.25714285714285,32.98571428571428,6.728571428571431,26.914285714285718,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Width,decrease,-0.25,-0.2499999999999999,relative,26.25714285714285,19.528571428571432,-6.728571428571417,-26.91428571428568,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Centralization,increase,0.25,1.8073328540618259,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Centralization,decrease,-0.25,-0.5607476635514019,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Density,increase,0.25,0.249748743718593,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Density,decrease,-0.25,-0.24723618090452265,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Trend,increase,0.25,0.4818181818181819,absolute,26.25714285714285,14.50952380952381,-11.74761904761904,-24.381850853548944,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Trend,decrease,-0.25,-172.60909090909098,absolute,26.25714285714285,-962.5857142857162,-988.8428571428591,-5.728799404103569,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Churn,increase,0.25,0.0,relative,26.25714285714285,26.25714285714285,0.0,0.0,requested,True,42
bitcoin_otc,21,trend_bridge_width,Churn,decrease,-0.25,-0.1488855683887474,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Width,increase,0.5,0.5000000000000002,relative,26.25714285714285,39.37142857142858,13.114285714285732,26.228571428571453,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Bridge Width,decrease,-0.5,-0.49826388888888884,relative,26.25714285714285,13.047619047619047,-13.209523809523802,-26.511100049775994,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Centralization,increase,0.5,1.9583033788641266,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Centralization,decrease,-0.5,-0.7375988497483824,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Density,increase,0.5,0.5010050251256282,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
bitcoin_otc,21,trend_bridge_width,Density,decrease,-0.5,-0.48793969849246227,relative,26.25714285714285,26.25714285714285,0.0,0.0,achieved,False,42
