dataset,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
bitcoin_otc,Bridge Width,structural,True,0,0.1,21,18,0.8571428571428571,True,False
bitcoin_otc,Bridge Width,structural,True,0,-0.1,21,18,0.8571428571428571,True,False
bitcoin_otc,Bridge Width,structural,True,0,0.25,21,19,0.9047619047619048,True,False
bitcoin_otc,Bridge Width,structural,True,0,-0.25,21,19,0.9047619047619048,True,False
bitcoin_otc,Bridge Width,structural,True,1,0.5,21,21,1.0,True,False
bitcoin_otc,Bridge Width,structural,True,0,-0.5,21,20,0.9523809523809523,True,False
bitcoin_otc,Centralization,structural,True,0,0.1,21,21,1.0,True,False
bitcoin_otc,Centralization,structural,True,0,-0.1,21,21,1.0,True,False
bitcoin_otc,Centralization,structural,True,0,0.25,21,21,1.0,True,False
bitcoin_otc,Centralization,structural,True,0,-0.25,21,21,1.0,True,False
bitcoin_otc,Centralization,structural,True,0,0.5,21,21,1.0,True,False
bitcoin_otc,Centralization,structural,True,0,-0.5,21,21,1.0,True,False
bitcoin_otc,Density,structural,False,0,0.1,21,21,1.0,True,False
bitcoin_otc,Density,structural,False,0,-0.1,21,21,1.0,True,False
bitcoin_otc,Density,structural,False,0,0.25,21,21,1.0,True,False
bitcoin_otc,Density,structural,False,0,-0.25,21,21,1.0,True,False
bitcoin_otc,Density,structural,False,0,0.5,21,21,1.0,True,False
bitcoin_otc,Density,structural,False,0,-0.5,21,21,1.0,True,False
bitcoin_otc,Bridge Trend,temporal,True,0,0.1,21,19,0.9047619047619048,False,False
bitcoin_otc,Bridge Trend,temporal,True,5,-0.1,21,20,0.9523809523809523,False,False
bitcoin_otc,Bridge Trend,temporal,True,0,0.25,21,19,0.9047619047619048,False,False
bitcoin_otc,Bridge Trend,temporal,True,16,-0.25,21,20,0.9523809523809523,False,False
bitcoin_otc,Bridge Trend,temporal,True,0,0.5,21,19,0.9047619047619048,False,False
bitcoin_otc,Bridge Trend,temporal,True,19,-0.5,21,20,0.9523809523809523,False,False
bitcoin_otc,Churn,temporal,True,0,0.1,21,0,0.0,False,False
bitcoin_otc,Churn,temporal,True,0,-0.1,21,20,0.9523809523809523,False,False
bitcoin_otc,Churn,temporal,True,0,0.25,21,0,0.0,False,False
bitcoin_otc,Churn,temporal,True,0,-0.25,21,20,0.9523809523809523,False,False
bitcoin_otc,Churn,temporal,True,0,0.5,21,0,0.0,False,False
bitcoin_otc,Churn,temporal,True,0,-0.5,21,20,0.9523809523809523,False,False
