dataset,transformation,property,before,after,change,delta
decentraland,Bridge Width,bridge width,577.375,635.125,57.75,0.1
decentraland,Bridge Width,centralization,0.27773483130625987,0.27773483130625987,0.0,0.1
decentraland,Bridge Width,density,0.2678030303030303,0.2678030303030303,0.0,0.1
decentraland,Bridge Width,clustering,0.48204710312311655,0.5001248190215453,0.018077715898428715,0.1
decentraland,Centralization,bridge width,577.375,577.375,0.0,0.1
decentraland,Centralization,centralization,0.27773483130625987,0.28460626674912387,0.0068714354428640045,0.1
decentraland,Centralization,density,0.2678030303030303,0.2678030303030303,0.0,0.1
decentraland,Centralization,clustering,0.48204710312311655,0.4822166289173097,0.00016952579419315938,0.1
decentraland,Density,bridge width,577.375,577.375,0.0,0.1
decentraland,Density,centralization,0.27773483130625987,0.2766010444581873,-0.0011337868480725821,0.1
decentraland,Density,density,0.2678030303030303,0.29458754208754206,0.026784511784511744,0.1
decentraland,Density,clustering,0.48204710312311655,0.526093675178745,0.0440465720556284,0.1
decentraland,Bridge Trend,bridge width,577.375,315.0,-262.375,0.1
decentraland,Bridge Trend,centralization,0.27773483130625987,0.2266285301999588,-0.05110630110630107,0.1
decentraland,Bridge Trend,density,0.2678030303030303,0.2678030303030303,0.0,0.1
decentraland,Bridge Trend,clustering,0.48204710312311655,0.48763525129858293,0.005588148175466379,0.1
decentraland,Churn,bridge width,577.375,577.375,0.0,0.1
decentraland,Churn,centralization,0.27773483130625987,0.27515804301518587,-0.0025767882910739948,0.1
decentraland,Churn,density,0.2678030303030303,0.2678030303030303,0.0,0.1
decentraland,Churn,clustering,0.48204710312311655,0.48735238928866953,0.00530528616555298,0.1
