snapshot_index,label,bridge_width,density,centralization,clustering
0,2021-05,26.0,0.01919191919191919,0.1453308596165739,0.14377214452214454
1,2021-06,31.0,0.030707070707070707,0.18511647083075655,0.18417545105393407
2,2021-07,28.0,0.027676767676767678,0.17790146361574932,0.17063889679292157
3,2021-08,35.0,0.026868686868686868,0.16841888270459698,0.1737691230338289
4,2021-09,40.0,0.03595959595959596,0.1797567511853226,0.2001098222383052
5,2021-10,35.0,0.04929292929292929,0.227994227994228,0.22914485439653703
6,2021-11,70.0,0.08808080808080808,0.27087198515769945,0.2995793551799931
7,2021-12,89.0,0.1618181818181818,0.3090084518655947,0.42534147233408204
8,2022-01,84.0,0.17555555555555555,0.3259121830550402,0.4447978818355703
9,2022-02,181.0,0.19454545454545455,0.3580705009276438,0.4626157766215541
10,2022-03,229.0,0.17232323232323232,0.380746237889095,0.45151901358015306
11,2022-04,426.0,0.21575757575757576,0.3570397856112142,0.4733405248525986
12,2022-05,688.0,0.3202020202020202,0.3226138940424655,0.5665384464652485
13,2022-06,727.0,0.3246464646464646,0.32838589981447125,0.5640183147806846
14,2022-07,625.0,0.2812121212121212,0.39332096474953615,0.5647851312004734
15,2022-08,1143.0,0.4632323232323232,0.269428983714698,0.6702853637462438
16,2022-09,1265.0,0.5082828282828283,0.28530199958771385,0.7109756008243956
17,2022-10,1353.0,0.5454545454545454,0.2782931354359926,0.734834248859709
18,2022-11,1423.0,0.5622222222222222,0.25087610801896515,0.7529246850590928
19,2022-12,1428.0,0.5747474747474748,0.24840239125953412,0.7523286910160148
20,2023-01,1077.0,0.44303030303030305,0.3003504432075861,0.6802456262736482
21,2023-02,883.0,0.36747474747474745,0.3362193362193362,0.6187939303452188
22,2023-03,1027.0,0.43474747474747477,0.27788084930942075,0.6561926991122435
23,2023-04,944.0,0.40424242424242424,0.28839414553700266,0.6384034208302007
