dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
decentraland,24,persistence_bridge_width,Bridge Width,increase,0.1,0.10002164970772895,relative,944.0,1038.0,94.0,939.7965367965368,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Width,decrease,-0.1,-0.10002164970772895,relative,944.0,850.0,-94.0,-939.7965367965368,achieved,False,42
decentraland,24,persistence_bridge_width,Centralization,increase,0.1,0.02474099273233335,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Centralization,decrease,-0.1,-0.3030771609710839,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Density,increase,0.1,0.10001571585729996,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Density,decrease,-0.1,-0.09998428414270004,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Trend,increase,0.1,-15.05086956521739,absolute,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Trend,decrease,-0.1,-118.29565217391311,absolute,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Churn,increase,0.1,0.03817153668927961,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Churn,decrease,-0.1,-0.04295393644366411,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Width,increase,0.25,0.24998195857689262,relative,944.0,1180.0,236.0,944.0681293302538,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Width,decrease,-0.25,-0.2499819585768925,relative,944.0,708.0,-236.0,-944.0681293302541,achieved,False,42
decentraland,24,persistence_bridge_width,Centralization,increase,0.25,0.02474099273233335,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Centralization,decrease,-0.25,-0.501005102829751,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Density,increase,0.25,0.24994499449944987,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Density,decrease,-0.25,-0.24994499449944999,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Trend,increase,0.25,-28.20782608695653,absolute,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Trend,decrease,-0.25,-98.9926086956522,absolute,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Churn,increase,0.25,0.09038474328764574,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Churn,decrease,-0.25,-0.11253156748645564,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Width,increase,0.5,0.499963917153785,relative,944.0,1416.0,472.0,944.0681293302541,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Width,decrease,-0.5,-0.49996391715378513,relative,944.0,472.0,-472.0,-944.068129330254,achieved,False,42
decentraland,24,persistence_bridge_width,Centralization,increase,0.5,0.02474099273233335,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Centralization,decrease,-0.5,-0.6525436833152931,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Density,increase,0.5,0.4692440672638693,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Density,decrease,-0.5,-0.49860128870029863,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Trend,increase,0.5,-38.367391304347834,absolute,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Bridge Trend,decrease,-0.5,-85.1813043478261,absolute,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Churn,increase,0.5,0.16598011628940706,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,persistence_bridge_width,Churn,decrease,-0.5,-0.24145932352955046,relative,944.0,944.0,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Width,increase,0.1,0.10002164970772895,relative,1397.6956521739132,1537.5000000000005,139.80434782608722,1397.7408714473959,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Width,decrease,-0.1,-0.10002164970772895,relative,1397.6956521739132,1257.8913043478265,-139.80434782608677,-1397.7408714473913,achieved,False,42
decentraland,24,trend_bridge_width,Centralization,increase,0.1,0.02474099273233335,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Centralization,decrease,-0.1,-0.3030771609710839,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Density,increase,0.1,0.10001571585729996,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Density,decrease,-0.1,-0.09998428414270004,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Trend,increase,0.1,-15.05086956521739,absolute,1397.6956521739132,947.184782608696,-450.51086956521726,-29.932547592223468,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Trend,decrease,-0.1,-118.29565217391311,absolute,1397.6956521739132,1574.4999999999995,176.8043478260863,1.4945971773007876,achieved,False,42
decentraland,24,trend_bridge_width,Churn,increase,0.1,0.03817153668927961,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Churn,decrease,-0.1,-0.04295393644366411,relative,1397.6956521739132,1397.6956521739132,0.0,0.0,achieved,False,42
decentraland,24,trend_bridge_width,Bridge Width,increase,0.25,0.24998195857689262,relative,1397.6956521739132,1747.1268115942037,349.43115942029044,1397.8255127271834,achieved,False,42
