snapshot_index,label,bridge_width,density,centralization,clustering
0,d0-40,92.0,0.009701492537313432,0.06090452261306532,0.11639604176917606
1,d40-80,84.0,0.00890547263681592,0.07180904522613066,0.11845265016906809
2,d80-120,94.0,0.009104477611940298,0.0514070351758794,0.13142368963264484
3,d120-160,77.0,0.008009950248756219,0.05251256281407035,0.09160079831721621
4,d160-200,81.0,0.008109452736318409,0.05241206030150754,0.10904065530931202
5,d200-240,103.0,0.00955223880597015,0.06105527638190955,0.12804674595719368
6,d240-280,108.0,0.010298507462686568,0.06030150753768844,0.11975108915407422
7,d280-320,76.0,0.007562189054726368,0.0428643216080402,0.10495933033246467
8,d320-360,98.0,0.009054726368159204,0.05650753768844221,0.14077652585115272
9,d360-400,97.0,0.009751243781094527,0.07095477386934673,0.13186410052081693
10,d400-440,78.0,0.007810945273631841,0.05271356783919598,0.08295284041552699
11,d440-480,138.0,0.013134328358208954,0.08773869346733669,0.16974912357519442
12,d480-520,127.0,0.011990049751243782,0.0585929648241206,0.1738892119489135
13,d520-560,43.0,0.003980099502487562,0.0414321608040201,0.07686567164179105
14,d760-800,9.0,0.0007960199004975124,0.014346733668341709,0.0
15,d800-840,28.0,0.002139303482587065,0.033190954773869345,0.013148542999289267
