dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
email_eu_core,16,persistence_bridge_width,Bridge Width,increase,0.1,0.1005251312828207,relative,28.0,31.0,3.0,29.843283582089555,achieved,False,42
email_eu_core,16,persistence_bridge_width,Bridge Width,decrease,-0.1,-0.1005251312828207,relative,28.0,25.0,-3.0,-29.843283582089555,achieved,False,42
email_eu_core,16,persistence_bridge_width,Centralization,increase,0.1,1.5172663118926422,relative,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Centralization,decrease,-0.1,-0.4127429430819066,relative,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Density,increase,0.1,0.09996170049789353,relative,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Density,decrease,-0.1,-0.09919571045576407,relative,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Bridge Trend,increase,0.1,4.8205882352941165,absolute,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Bridge Trend,decrease,-0.1,-21.082352941176467,absolute,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Churn,increase,0.1,0.009182851460503915,relative,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Churn,decrease,-0.1,-0.0691210400150459,relative,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Bridge Width,increase,0.25,0.24981245311327832,relative,28.0,35.0,7.0,28.02102102102102,achieved,False,42
email_eu_core,16,persistence_bridge_width,Bridge Width,decrease,-0.25,-0.24981245311327832,relative,28.0,21.0,-7.0,-28.02102102102102,achieved,False,42
email_eu_core,16,persistence_bridge_width,Centralization,increase,0.25,3.8018857010643208,relative,28.0,28.0,0.0,0.0,achieved,False,42
email_eu_core,16,persistence_bridge_width,Centralization,decrease,-0.25,-0.5987679315131884,relative,28.0,28.0,0.0,0.0,achieved,False,42
