snapshot_index,label,bridge_width,density,centralization,clustering
0,2009-09-29,203.0,0.08067226890756303,0.3025210084033613,0.3107820223477445
1,2010-01-27,338.0,0.13137254901960785,0.3791482694772824,0.3704051907963162
2,2010-05-27,390.0,0.14313725490196078,0.4270047001851588,0.3653672981465609
3,2010-09-24,465.0,0.17352941176470588,0.31918530123913974,0.358643048285939
4,2011-01-22,353.0,0.13725490196078433,0.37316621563879787,0.3370550762932178
5,2011-05-22,276.0,0.11960784313725491,0.2800170915823957,0.3275347103232746
6,2011-09-19,306.0,0.11708683473389356,0.38513032331576696,0.30845181299003527
7,2012-01-17,277.0,0.10952380952380952,0.33300099700897307,0.2923681421170249
8,2012-05-16,284.0,0.11064425770308123,0.3489531405782652,0.324375306736362
9,2012-09-13,238.0,0.09509803921568627,0.23657598632673407,0.2703991245443872
10,2013-01-11,226.0,0.08669467787114846,0.2023928215353938,0.2165681195234027
11,2013-05-11,220.0,0.0876750700280112,0.2441247685514884,0.2590924325525993
12,2013-09-08,194.0,0.0757703081232493,0.33314342686227033,0.23784979196819384
13,2014-01-06,172.0,0.06554621848739496,0.24099131177894886,0.2007853722786393
14,2014-05-06,163.0,0.06638655462184874,0.29141147984617577,0.18799857790624602
15,2014-09-03,157.0,0.07156862745098039,0.28614157527417744,0.23471807508867198
16,2015-01-01,132.0,0.06372549019607843,0.23429710867397807,0.22757432230008723
17,2015-05-01,157.0,0.05798319327731093,0.2059535678678251,0.2125678059474308
18,2015-08-29,156.0,0.0696078431372549,0.3052271756160091,0.21810914231397865
19,2015-12-27,69.0,0.032913165266106444,0.18017376442102265,0.11133420283420283
