dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
sx_mathoverflow,20,persistence_bridge_width,Bridge Width,increase,0.1,0.10029313232830815,relative,69.0,76.0,7.0,69.79540709812113,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Width,decrease,-0.1,-0.10029313232830828,relative,69.0,62.0,-7.0,-69.79540709812103,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Centralization,increase,0.1,1.2048018513161698,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Centralization,decrease,-0.1,-0.5597338733005496,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Density,increase,0.1,0.10002955082742324,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Density,decrease,-0.1,-0.09995567375886522,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Trend,increase,0.1,12.459398496240606,absolute,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Trend,decrease,-0.1,-66.15263157894738,absolute,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Churn,increase,0.1,0.009008729338882884,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Churn,decrease,-0.1,-0.08719680281381326,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Width,increase,0.25,0.24958123953098812,relative,69.0,86.0,17.0,68.11409395973159,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Width,decrease,-0.25,-0.24958123953098835,relative,69.0,52.0,-17.0,-68.11409395973152,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Centralization,increase,0.25,1.3002603413364193,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Centralization,decrease,-0.25,-0.7549898756146949,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Density,increase,0.25,0.25014775413711593,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Density,decrease,-0.25,-0.25014775413711576,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Trend,increase,0.25,15.372932330827076,absolute,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Trend,decrease,-0.25,-223.35187969924826,absolute,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Churn,increase,0.25,0.022059167069055707,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Churn,decrease,-0.25,-0.23307294369616702,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Width,increase,0.5,0.5004187604690117,relative,69.0,104.0,35.0,69.94142259414227,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Width,decrease,-0.5,-0.5004187604690118,relative,69.0,34.0,-35.0,-69.94142259414225,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Centralization,increase,0.5,1.3002603413364193,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Centralization,decrease,-0.5,-0.8996239514029506,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Density,increase,0.5,0.4998522458628843,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Density,decrease,-0.5,-0.4998522458628841,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Trend,increase,0.5,15.620300751879709,absolute,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Bridge Trend,decrease,-0.5,-145.19248120300765,absolute,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Churn,increase,0.5,0.04284863470750004,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,persistence_bridge_width,Churn,decrease,-0.5,-0.3449944859380322,relative,69.0,69.0,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Width,increase,0.1,0.10029313232830815,relative,95.1631578947368,104.75263157894727,9.589473684210475,95.61445994945565,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Width,decrease,-0.1,-0.10029313232830828,relative,95.1631578947368,85.57368421052627,-9.589473684210532,-95.61445994945609,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Centralization,increase,0.1,1.2048018513161698,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Centralization,decrease,-0.1,-0.5597338733005496,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Density,increase,0.1,0.10002955082742324,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Density,decrease,-0.1,-0.09995567375886522,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Trend,increase,0.1,12.459398496240606,absolute,95.1631578947368,109.9368421052631,14.773684210526298,1.1857461830909402,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Trend,decrease,-0.1,-66.15263157894738,absolute,95.1631578947368,-167.389473684211,-262.5526315789478,-3.9688917177182015,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Churn,increase,0.1,0.009008729338882884,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Churn,decrease,-0.1,-0.08719680281381326,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Width,increase,0.25,0.24958123953098812,relative,95.1631578947368,118.81052631578945,23.647368421052647,94.74818085482174,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Width,decrease,-0.25,-0.24958123953098835,relative,95.1631578947368,71.51578947368421,-23.64736842105259,-94.74818085482143,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Centralization,increase,0.25,1.3002603413364193,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Centralization,decrease,-0.25,-0.7549898756146949,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Density,increase,0.25,0.25014775413711593,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Density,decrease,-0.25,-0.25014775413711576,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Trend,increase,0.25,15.372932330827076,absolute,95.1631578947368,86.27894736842104,-8.884210526315755,-0.5779125501320526,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Trend,decrease,-0.25,-223.35187969924826,absolute,95.1631578947368,-323.2315789473705,-418.3947368421073,-1.8732537080300897,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Churn,increase,0.25,0.022059167069055707,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Churn,decrease,-0.25,-0.23307294369616702,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Width,increase,0.5,0.5004187604690117,relative,95.1631578947368,142.94736842105243,47.78421052631563,95.48844747852866,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Width,decrease,-0.5,-0.5004187604690118,relative,95.1631578947368,47.378947368420995,-47.7842105263158,-95.48844747852897,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Centralization,increase,0.5,1.3002603413364193,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Centralization,decrease,-0.5,-0.8996239514029506,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Density,increase,0.5,0.4998522458628843,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Density,decrease,-0.5,-0.4998522458628841,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Trend,increase,0.5,15.620300751879709,absolute,95.1631578947368,60.4263157894737,-34.7368421052631,-2.223826714801439,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Bridge Trend,decrease,-0.5,-145.19248120300765,absolute,95.1631578947368,1264.2421052631562,1169.0789473684194,8.05192484956447,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Churn,increase,0.5,0.04284863470750004,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,trend_bridge_width,Churn,decrease,-0.5,-0.3449944859380322,relative,95.1631578947368,95.1631578947368,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Bridge Width,increase,0.1,0.10029313232830815,relative,-13.67969924812031,-15.047368421052635,-1.3676691729323256,-13.636718100051755,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Bridge Width,decrease,-0.1,-0.10029313232830828,relative,-13.67969924812031,-12.312030075187973,1.3676691729323363,13.636718100051844,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Centralization,increase,0.1,1.2048018513161698,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Centralization,decrease,-0.1,-0.5597338733005496,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Density,increase,0.1,0.10002955082742324,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Density,decrease,-0.1,-0.09995567375886522,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Bridge Trend,increase,0.1,12.459398496240606,absolute,-13.67969924812031,-1.2203007518797029,12.459398496240606,1.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Bridge Trend,decrease,-0.1,-66.15263157894738,absolute,-13.67969924812031,-79.8323308270677,-66.15263157894738,-1.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Churn,increase,0.1,0.009008729338882884,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Churn,decrease,-0.1,-0.08719680281381326,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Bridge Width,increase,0.25,0.24958123953098812,relative,-13.67969924812031,-17.10375939849624,-3.424060150375931,-13.719220870969343,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Bridge Width,decrease,-0.25,-0.24958123953098835,relative,-13.67969924812031,-10.255639097744364,3.4240601503759454,13.719220870969387,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Centralization,increase,0.25,1.3002603413364193,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Centralization,decrease,-0.25,-0.7549898756146949,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
sx_mathoverflow,20,slope_bridge_width,Density,increase,0.25,0.25014775413711593,relative,-13.67969924812031,-13.67969924812031,0.0,0.0,achieved,False,42
