snapshot_index,label,nodes,active_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
0,d0-60,120,12,13,0.0018207282913165266,0.21666666666666667,11,6,109,False
1,d60-120,120,13,12,0.0016806722689075631,0.2,12,6,108,False
2,d120-180,120,10,14,0.00196078431372549,0.23333333333333334,6,6,111,False
3,d180-240,120,20,26,0.0036414565826330533,0.43333333333333335,7,8,102,False
4,d240-300,120,25,40,0.0056022408963585435,0.6666666666666666,11,12,96,False
5,d300-360,120,28,47,0.0065826330532212885,0.7833333333333333,14,21,93,False
6,d360-420,120,55,88,0.012324929971988795,1.4666666666666666,13,22,67,False
7,d420-480,120,66,148,0.02072829131652661,2.466666666666667,19,56,55,False
8,d480-540,120,75,139,0.01946778711484594,2.316666666666667,14,45,47,False
9,d540-600,120,81,169,0.023669467787114845,2.816666666666667,19,56,41,False
10,d600-660,120,89,287,0.04019607843137255,4.783333333333333,24,74,32,False
11,d660-720,120,90,322,0.045098039215686274,5.366666666666666,27,86,31,False
12,d720-780,120,97,344,0.048179271708683476,5.733333333333333,30,95,25,False
13,d780-840,120,98,390,0.0546218487394958,6.5,22,96,23,False
14,d840-900,120,103,429,0.06008403361344538,7.15,35,103,19,False
15,d900-960,120,113,451,0.06316526610644257,7.516666666666667,53,117,8,False
16,d960-1020,120,102,395,0.055322128851540614,6.583333333333333,45,107,19,False
17,d1020-1080,120,100,507,0.07100840336134454,8.45,43,118,21,False
18,d1080-1140,120,96,470,0.06582633053221289,7.833333333333333,33,105,25,False
19,d1140-1200,120,86,323,0.04523809523809524,5.383333333333334,40,94,35,False
20,d1200-1260,120,33,68,0.009523809523809525,1.1333333333333333,12,20,91,False
21,d1260-1320,120,17,21,0.0029411764705882353,0.35,10,6,104,False
