dataset,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
tgbl_enron,Bridge Width,structural,True,0,0.1,22,22,1.0,True,False
tgbl_enron,Bridge Width,structural,True,0,-0.1,22,22,1.0,True,False
tgbl_enron,Bridge Width,structural,True,0,0.25,22,22,1.0,True,False
tgbl_enron,Bridge Width,structural,True,0,-0.25,22,22,1.0,True,False
tgbl_enron,Bridge Width,structural,True,0,0.5,22,22,1.0,True,False
tgbl_enron,Bridge Width,structural,True,0,-0.5,22,22,1.0,True,False
tgbl_enron,Centralization,structural,True,0,0.1,22,19,0.8636363636363636,True,False
tgbl_enron,Centralization,structural,True,0,-0.1,22,22,1.0,True,False
tgbl_enron,Centralization,structural,True,0,0.25,22,19,0.8636363636363636,True,False
tgbl_enron,Centralization,structural,True,0,-0.25,22,22,1.0,True,False
tgbl_enron,Centralization,structural,True,0,0.5,22,19,0.8636363636363636,True,False
tgbl_enron,Centralization,structural,True,0,-0.5,22,22,1.0,True,False
tgbl_enron,Density,structural,False,0,0.1,22,22,1.0,True,False
tgbl_enron,Density,structural,False,0,-0.1,22,22,1.0,True,False
tgbl_enron,Density,structural,False,0,0.25,22,22,1.0,True,False
tgbl_enron,Density,structural,False,0,-0.25,22,22,1.0,True,False
tgbl_enron,Density,structural,False,0,0.5,22,22,1.0,True,False
tgbl_enron,Density,structural,False,0,-0.5,22,22,1.0,True,False
tgbl_enron,Bridge Trend,temporal,True,0,0.1,22,21,0.9545454545454546,False,False
tgbl_enron,Bridge Trend,temporal,True,10,-0.1,22,21,0.9545454545454546,False,False
tgbl_enron,Bridge Trend,temporal,True,0,0.25,22,21,0.9545454545454546,False,False
tgbl_enron,Bridge Trend,temporal,True,16,-0.25,22,21,0.9545454545454546,False,False
tgbl_enron,Bridge Trend,temporal,True,0,0.5,22,21,0.9545454545454546,False,False
tgbl_enron,Bridge Trend,temporal,True,19,-0.5,22,21,0.9545454545454546,False,False
tgbl_enron,Churn,temporal,True,0,0.1,22,2,0.09090909090909091,False,False
tgbl_enron,Churn,temporal,True,0,-0.1,22,21,0.9545454545454546,False,False
tgbl_enron,Churn,temporal,True,0,0.25,22,3,0.13636363636363635,False,False
tgbl_enron,Churn,temporal,True,0,-0.25,22,21,0.9545454545454546,False,False
tgbl_enron,Churn,temporal,True,0,0.5,22,5,0.22727272727272727,False,False
tgbl_enron,Churn,temporal,True,0,-0.5,22,21,0.9545454545454546,False,False
