snapshot_index,label,nodes,active_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
0,d0-10,120,24,36,0.005042016806722689,0.6,8,15,98,False
1,d10-20,120,87,375,0.052521008403361345,6.25,23,125,34,False
2,d20-30,120,97,436,0.06106442577030812,7.266666666666667,25,165,24,False
3,d30-40,120,112,528,0.07394957983193277,8.8,37,204,9,False
4,d40-50,120,111,283,0.03963585434173669,4.716666666666667,27,95,10,False
5,d50-60,120,91,143,0.020028011204481794,2.3833333333333333,11,61,30,False
6,d60-70,120,34,23,0.0032212885154061623,0.38333333333333336,5,8,97,False
7,d70-80,120,62,85,0.011904761904761904,1.4166666666666667,24,28,59,False
8,d80-90,120,65,80,0.011204481792717087,1.3333333333333333,22,33,58,False
9,d90-100,120,39,48,0.0067226890756302525,0.8,8,22,86,False
10,d100-110,120,37,54,0.007563025210084034,0.9,11,23,85,False
11,d110-120,120,33,28,0.00392156862745098,0.4666666666666667,6,11,94,False
12,d120-130,120,35,43,0.0060224089635854345,0.7166666666666667,10,19,87,False
13,d130-140,120,32,32,0.004481792717086834,0.5333333333333333,8,16,94,False
14,d140-150,120,28,28,0.00392156862745098,0.4666666666666667,6,12,95,False
15,d150-160,120,28,26,0.0036414565826330533,0.43333333333333335,10,11,96,False
16,d160-170,120,27,21,0.0029411764705882353,0.35,5,7,99,False
17,d170-180,120,19,14,0.00196078431372549,0.23333333333333334,5,6,106,False
18,d180-190,120,23,19,0.002661064425770308,0.31666666666666665,9,6,101,False
19,d190-200,120,12,9,0.0012605042016806723,0.15,5,3,111,False
