snapshot_index,label,bridge_width,density,centralization,clustering
0,d0-10,15.0,0.005042016806722689,0.0632388548639795,0.00251984126984127
1,d10-20,125.0,0.052521008403361345,0.14314200256373735,0.11146542253656261
2,d20-30,165.0,0.06106442577030812,0.15154536390827517,0.0891674025865202
3,d30-40,204.0,0.07394957983193277,0.24099131177894886,0.12789277917123176
4,d40-50,95.0,0.03963585434173669,0.19042871385842472,0.06511831897796808
5,d50-60,61.0,0.020028011204481794,0.07363623415467882,0.020833333333333332
6,d60-70,8.0,0.0032212885154061623,0.039453069363338554,0.0
7,d70-80,28.0,0.011904761904761904,0.19299245121777525,0.050938502657610206
8,d80-90,33.0,0.011204481792717087,0.17661301808859137,0.04718975468975469
9,d90-100,22.0,0.0067226890756302525,0.061529696624412475,0.03202380952380953
10,d100-110,23.0,0.007563025210084034,0.08631249109813417,0.021803751803751808
11,d110-120,11.0,0.00392156862745098,0.04728671129468737,0.0
12,d120-130,19.0,0.0060224089635854345,0.07933342828656886,0.025826719576719576
13,d130-140,16.0,0.004481792717086834,0.06380857427716849,0.013373015873015872
14,d140-150,12.0,0.00392156862745098,0.04728671129468737,0.0
15,d150-160,11.0,0.0036414565826330533,0.08175473579262213,0.01685185185185185
16,d160-170,7.0,0.0029411764705882353,0.03973792906993306,0.0
17,d170-180,6.0,0.00196078431372549,0.04073493804301381,0.0
18,d180-190,6.0,0.002661064425770308,0.07420595356786783,0.0
19,d190-200,3.0,0.0012605042016806723,0.04144708730950007,0.0
