dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
tgbl_uci,20,persistence_bridge_width,Bridge Width,increase,0.1,0.10114942528735629,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Width,decrease,-0.1,-0.10000000000000003,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Centralization,increase,0.1,1.0199426006328651,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Centralization,decrease,-0.1,-0.41504157774670686,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Density,increase,0.1,0.10038944180008662,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Density,decrease,-0.1,-0.09995672868887925,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Trend,increase,0.1,2.2060150375939838,absolute,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Trend,decrease,-0.1,-7.800751879699256,absolute,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Churn,increase,0.1,0.0,relative,3.0,3.0,0.0,0.0,requested,True,42
tgbl_uci,20,persistence_bridge_width,Churn,decrease,-0.1,-0.07012920687268509,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Width,increase,0.25,0.25287356321839083,relative,3.0,4.0,1.0,3.954545454545454,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Width,decrease,-0.25,-0.25287356321839083,relative,3.0,2.0,-1.0,-3.954545454545454,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Centralization,increase,0.25,1.655750975053352,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Centralization,decrease,-0.25,-0.6225623666200604,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Density,increase,0.25,0.2505408913890091,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Density,decrease,-0.25,-0.24837732583297276,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Trend,increase,0.25,3.604511278195489,absolute,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Trend,decrease,-0.25,-108.06691729323312,absolute,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Churn,increase,0.25,0.0031996143583310236,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Churn,decrease,-0.25,-0.15772854205511253,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Width,increase,0.5,0.4977011494252875,relative,3.0,4.0,1.0,2.009237875288683,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Width,decrease,-0.5,-0.4977011494252873,relative,3.0,2.0,-1.0,-2.009237875288684,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Centralization,increase,0.5,1.8411950842593272,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Centralization,decrease,-0.5,-0.816837147692987,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Density,increase,0.5,0.4993509303331891,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Density,decrease,-0.5,-0.4655993076590221,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Trend,increase,0.5,4.70075187969925,absolute,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Bridge Trend,decrease,-0.5,-241.02932330827073,absolute,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Churn,increase,0.5,0.017837227301500447,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_bridge_width,Churn,decrease,-0.5,-0.21032007081916054,relative,3.0,3.0,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Width,increase,0.1,0.10114942528735629,relative,-24.521052631578996,-26.894736842105274,-2.373684210526278,-23.467105263157528,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Width,decrease,-0.1,-0.10000000000000003,relative,-24.521052631578996,-22.184210526315795,2.3368421052632016,23.36842105263201,achieved,False,42
tgbl_uci,20,trend_bridge_width,Centralization,increase,0.1,1.0199426006328651,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Centralization,decrease,-0.1,-0.41504157774670686,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Density,increase,0.1,0.10038944180008662,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Density,decrease,-0.1,-0.09995672868887925,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Trend,increase,0.1,2.2060150375939838,absolute,-24.521052631578996,-15.257894736842147,9.26315789473685,4.1990456714383155,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Trend,decrease,-0.1,-7.800751879699256,absolute,-24.521052631578996,-64.07894736842113,-39.55789473684213,-5.071036144578311,achieved,False,42
tgbl_uci,20,trend_bridge_width,Churn,increase,0.1,0.0,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,requested,True,42
tgbl_uci,20,trend_bridge_width,Churn,decrease,-0.1,-0.07012920687268509,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Width,increase,0.25,0.25287356321839083,relative,-24.521052631578996,-30.27368421052634,-5.752631578947344,-22.749043062200858,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Width,decrease,-0.25,-0.25287356321839083,relative,-24.521052631578996,-18.768421052631595,5.752631578947401,22.749043062201086,achieved,False,42
tgbl_uci,20,trend_bridge_width,Centralization,increase,0.25,1.655750975053352,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Centralization,decrease,-0.25,-0.6225623666200604,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Density,increase,0.25,0.2505408913890091,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Density,decrease,-0.25,-0.24837732583297276,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Trend,increase,0.25,3.604511278195489,absolute,-24.521052631578996,-9.673684210526332,14.847368421052664,4.119107217355036,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Trend,decrease,-0.25,-108.06691729323312,absolute,-24.521052631578996,-643.0736842105268,-618.5526315789479,-5.723792693193443,achieved,False,42
tgbl_uci,20,trend_bridge_width,Churn,increase,0.25,0.0031996143583310236,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Churn,decrease,-0.25,-0.15772854205511253,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Width,increase,0.5,0.4977011494252875,relative,-24.521052631578996,-37.14210526315796,-12.621052631578962,-25.358696973380358,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Width,decrease,-0.5,-0.4977011494252873,relative,-24.521052631578996,-11.900000000000013,12.621052631578983,25.358696973380408,achieved,False,42
tgbl_uci,20,trend_bridge_width,Centralization,increase,0.5,1.8411950842593272,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Centralization,decrease,-0.5,-0.816837147692987,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Density,increase,0.5,0.4993509303331891,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Density,decrease,-0.5,-0.4655993076590221,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Trend,increase,0.5,4.70075187969925,absolute,-24.521052631578996,-5.2631578947368425,19.257894736842154,4.096769033909158,achieved,False,42
tgbl_uci,20,trend_bridge_width,Bridge Trend,decrease,-0.5,-241.02932330827073,absolute,-24.521052631578996,-497.57894736842263,-473.05789473684365,-1.9626570254765805,achieved,False,42
tgbl_uci,20,trend_bridge_width,Churn,increase,0.5,0.017837227301500447,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,trend_bridge_width,Churn,decrease,-0.5,-0.21032007081916054,relative,-24.521052631578996,-24.521052631578996,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Width,increase,0.1,0.10114942528735629,relative,-6.478195488721806,-7.123308270676694,-0.6451127819548885,-6.377819548872195,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Width,decrease,-0.1,-0.10000000000000003,relative,-6.478195488721806,-5.841353383458648,0.6368421052631579,6.368421052631577,achieved,False,42
tgbl_uci,20,slope_bridge_width,Centralization,increase,0.1,1.0199426006328651,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Centralization,decrease,-0.1,-0.41504157774670686,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Density,increase,0.1,0.10038944180008662,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Density,decrease,-0.1,-0.09995672868887925,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Trend,increase,0.1,2.2060150375939838,absolute,-6.478195488721806,-4.272180451127822,2.2060150375939838,1.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Trend,decrease,-0.1,-7.800751879699256,absolute,-6.478195488721806,-14.278947368421061,-7.800751879699256,-1.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Churn,increase,0.1,0.0,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,requested,True,42
tgbl_uci,20,slope_bridge_width,Churn,decrease,-0.1,-0.07012920687268509,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Width,increase,0.25,0.25287356321839083,relative,-6.478195488721806,-8.073684210526316,-1.5954887218045108,-6.309432672590565,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Width,decrease,-0.25,-0.25287356321839083,relative,-6.478195488721806,-4.882706766917294,1.5954887218045117,6.309432672590568,achieved,False,42
tgbl_uci,20,slope_bridge_width,Centralization,increase,0.25,1.655750975053352,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Centralization,decrease,-0.25,-0.6225623666200604,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Density,increase,0.25,0.2505408913890091,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Density,decrease,-0.25,-0.24837732583297276,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Trend,increase,0.25,3.604511278195489,absolute,-6.478195488721806,-2.8736842105263167,3.604511278195489,1.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Trend,decrease,-0.25,-108.06691729323312,absolute,-6.478195488721806,-114.54511278195493,-108.06691729323312,-1.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Churn,increase,0.25,0.0031996143583310236,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Churn,decrease,-0.25,-0.15772854205511253,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Width,increase,0.5,0.4977011494252875,relative,-6.478195488721806,-9.742105263157898,-3.263909774436092,-6.557971140321938,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Width,decrease,-0.5,-0.4977011494252873,relative,-6.478195488721806,-3.2142857142857144,3.263909774436091,6.557971140321939,achieved,False,42
tgbl_uci,20,slope_bridge_width,Centralization,increase,0.5,1.8411950842593272,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Centralization,decrease,-0.5,-0.816837147692987,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Density,increase,0.5,0.4993509303331891,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Density,decrease,-0.5,-0.4655993076590221,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Trend,increase,0.5,4.70075187969925,absolute,-6.478195488721806,-1.777443609022556,4.70075187969925,1.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Bridge Trend,decrease,-0.5,-241.02932330827073,absolute,-6.478195488721806,-247.50751879699254,-241.02932330827073,-1.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Churn,increase,0.5,0.017837227301500447,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,slope_bridge_width,Churn,decrease,-0.5,-0.21032007081916054,relative,-6.478195488721806,-6.478195488721806,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_density,Bridge Width,increase,0.1,0.10114942528735629,relative,0.0012605042016806723,0.0012605042016806723,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_density,Bridge Width,decrease,-0.1,-0.10000000000000003,relative,0.0012605042016806723,0.0012605042016806723,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_density,Centralization,increase,0.1,1.0199426006328651,relative,0.0012605042016806723,0.0012605042016806723,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_density,Centralization,decrease,-0.1,-0.41504157774670686,relative,0.0012605042016806723,0.0012605042016806723,0.0,0.0,achieved,False,42
tgbl_uci,20,persistence_density,Density,increase,0.1,0.10038944180008662,relative,0.0012605042016806723,0.0014005602240896359,0.00014005602240896352,0.0013951270163237693,achieved,False,42
tgbl_uci,20,persistence_density,Density,decrease,-0.1,-0.09995672868887925,relative,0.0012605042016806723,0.0011204481792717086,-0.00014005602240896374,-0.0014011665272169493,achieved,False,42
