dataset,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
tgbl_uci,Bridge Width,structural,True,0,0.1,20,19,0.95,False,True
tgbl_uci,Bridge Width,structural,True,0,-0.1,20,19,0.95,False,True
tgbl_uci,Bridge Width,structural,True,0,0.25,20,20,1.0,True,False
tgbl_uci,Bridge Width,structural,True,0,-0.25,20,20,1.0,True,False
tgbl_uci,Bridge Width,structural,True,1,0.5,20,20,1.0,True,False
tgbl_uci,Bridge Width,structural,True,0,-0.5,20,20,1.0,True,False
tgbl_uci,Centralization,structural,True,0,0.1,20,20,1.0,True,False
tgbl_uci,Centralization,structural,True,0,-0.1,20,20,1.0,True,False
tgbl_uci,Centralization,structural,True,0,0.25,20,20,1.0,True,False
tgbl_uci,Centralization,structural,True,0,-0.25,20,20,1.0,True,False
tgbl_uci,Centralization,structural,True,0,0.5,20,20,1.0,True,False
tgbl_uci,Centralization,structural,True,0,-0.5,20,20,1.0,True,False
tgbl_uci,Density,structural,False,0,0.1,20,20,1.0,True,False
tgbl_uci,Density,structural,False,0,-0.1,20,20,1.0,True,False
tgbl_uci,Density,structural,False,0,0.25,20,20,1.0,True,False
tgbl_uci,Density,structural,False,0,-0.25,20,20,1.0,True,False
tgbl_uci,Density,structural,False,0,0.5,20,20,1.0,True,False
tgbl_uci,Density,structural,False,0,-0.5,20,20,1.0,True,False
tgbl_uci,Bridge Trend,temporal,True,0,0.1,20,19,0.95,False,False
tgbl_uci,Bridge Trend,temporal,True,5,-0.1,20,19,0.95,False,False
tgbl_uci,Bridge Trend,temporal,True,0,0.25,20,19,0.95,False,False
tgbl_uci,Bridge Trend,temporal,True,17,-0.25,20,19,0.95,False,False
tgbl_uci,Bridge Trend,temporal,True,0,0.5,20,19,0.95,False,False
tgbl_uci,Bridge Trend,temporal,True,18,-0.5,20,19,0.95,False,False
tgbl_uci,Churn,temporal,True,0,0.1,20,0,0.0,False,False
tgbl_uci,Churn,temporal,True,0,-0.1,20,19,0.95,False,False
tgbl_uci,Churn,temporal,True,0,0.25,20,1,0.05,False,False
tgbl_uci,Churn,temporal,True,0,-0.25,20,19,0.95,False,False
tgbl_uci,Churn,temporal,True,0,0.5,20,6,0.3,False,False
tgbl_uci,Churn,temporal,True,0,-0.5,20,19,0.95,False,False
