snapshot_index,label,nodes,active_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
0,d0-2,100,22,37,0.007474747474747475,0.74,9,9,83,False
1,d2-4,100,35,107,0.021616161616161617,2.14,17,45,67,False
2,d4-6,100,33,143,0.028888888888888888,2.86,19,42,68,False
3,d6-8,100,37,96,0.019393939393939394,1.92,21,35,68,False
4,d8-10,100,44,99,0.02,1.98,15,23,62,False
5,d10-12,100,45,149,0.0301010101010101,2.98,20,33,58,False
6,d12-14,100,52,180,0.03636363636363636,3.6,24,50,54,False
7,d14-16,100,54,247,0.0498989898989899,4.94,27,64,50,False
8,d16-18,100,55,152,0.030707070707070707,3.04,19,49,50,False
9,d18-20,100,62,160,0.03232323232323232,3.2,16,62,44,False
10,d20-22,100,58,140,0.028282828282828285,2.8,15,54,47,False
11,d22-24,100,55,142,0.028686868686868688,2.84,19,63,47,False
12,d24-26,100,50,170,0.03434343434343434,3.4,20,87,52,False
13,d26-28,100,44,97,0.019595959595959597,1.94,17,35,58,False
14,d28-30,100,36,134,0.02707070707070707,2.68,19,70,68,False
15,d30-32,100,27,42,0.008484848484848486,0.84,14,16,76,False
