dataset,transformation,property,before,after,change,delta
tgbl_wiki,Bridge Width,bridge width,46.0625,50.5625,4.5,0.1
tgbl_wiki,Bridge Width,centralization,0.16046949082663367,0.15982529375386517,-0.0006441970727684987,0.1
tgbl_wiki,Bridge Width,density,0.026452020202020206,0.026452020202020206,0.0,0.1
tgbl_wiki,Bridge Width,clustering,0.23738862415990264,0.21938784174245712,-0.018000782417445516,0.1
tgbl_wiki,Centralization,bridge width,46.0625,46.0625,0.0,0.1
tgbl_wiki,Centralization,centralization,0.16046949082663367,0.27320397856112144,0.11273448773448777,0.1
tgbl_wiki,Centralization,density,0.026452020202020206,0.026452020202020206,0.0,0.1
tgbl_wiki,Centralization,clustering,0.23738862415990264,0.2349879287885402,-0.002400695371362449,0.1
tgbl_wiki,Density,bridge width,46.0625,46.0625,0.0,0.1
tgbl_wiki,Density,centralization,0.16046949082663367,0.15969645433931148,-0.0007730364873221873,0.1
tgbl_wiki,Density,density,0.026452020202020206,0.029103535353535354,0.0026515151515151478,0.1
tgbl_wiki,Density,clustering,0.23738862415990264,0.2189596785019987,-0.018428945657903928,0.1
tgbl_wiki,Bridge Trend,bridge width,46.0625,23.5625,-22.5,0.1
tgbl_wiki,Bridge Trend,centralization,0.16046949082663367,0.13663419913419914,-0.023835291692434535,0.1
tgbl_wiki,Bridge Trend,density,0.026452020202020206,0.026452020202020206,0.0,0.1
tgbl_wiki,Bridge Trend,clustering,0.23738862415990264,0.1844357937561683,-0.05295283040373433,0.1
tgbl_wiki,Churn,bridge width,46.0625,46.0625,0.0,0.1
tgbl_wiki,Churn,centralization,0.16046949082663367,0.15918109668109667,-0.0012883941455369974,0.1
tgbl_wiki,Churn,density,0.026452020202020206,0.026452020202020206,0.0,0.1
tgbl_wiki,Churn,clustering,0.23738862415990264,0.23308399771479635,-0.004304626445106291,0.1
