snapshot_index,label,bridge_width,density,centralization,clustering
0,d0-2,9.0,0.007474747474747475,0.08513708513708514,0.09044444444444442
1,d2-4,45.0,0.021616161616161617,0.15316429602143888,0.2096993496699379
2,d4-6,42.0,0.028888888888888888,0.1663574520717378,0.1810623724400814
3,d6-8,35.0,0.019393939393939394,0.19666048237476808,0.19465834165834167
4,d8-10,23.0,0.02,0.1341991341991342,0.23636963036963038
5,d10-12,33.0,0.0301010101010101,0.1754277468563183,0.24423406272090487
6,d12-14,50.0,0.03636363636363636,0.21026592455163884,0.3009155485448728
7,d14-16,64.0,0.0498989898989899,0.22737579880437023,0.35566235716218875
8,d16-18,49.0,0.030707070707070707,0.1645021645021645,0.30976062387904485
9,d18-20,62.0,0.03232323232323232,0.13193156050298907,0.36741167166167166
10,d20-22,54.0,0.028282828282828285,0.12574726860441146,0.2812934842934843
11,d22-24,63.0,0.028686868686868688,0.1665635951350237,0.22367759141443355
12,d24-26,87.0,0.03434343434343434,0.17109874252731397,0.2715865552576079
13,d26-28,35.0,0.019595959595959597,0.1552257266542981,0.2189080298786181
14,d28-30,70.0,0.02707070707070707,0.16821273964131106,0.18477568140493836
15,d30-32,16.0,0.008484848484848486,0.13564213564213565,0.12775824175824174
