dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
tgbl_wiki,16,persistence_bridge_width,Bridge Width,increase,0.1,0.09769335142469471,relative,16.0,18.0,2.0,20.47222222222222,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Width,decrease,-0.1,-0.09769335142469471,relative,16.0,14.0,-2.0,-20.47222222222222,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Centralization,increase,0.1,0.7025291047771982,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Centralization,decrease,-0.1,-0.3412284223203533,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Density,increase,0.1,0.10023866348448687,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Density,decrease,-0.1,-0.10023866348448687,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Trend,increase,0.1,1.482352941176471,absolute,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Trend,decrease,-0.1,-13.542647058823526,absolute,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Churn,increase,0.1,0.0052284595494757734,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Churn,decrease,-0.1,-0.0904048420354766,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Width,increase,0.25,0.2510176390773406,relative,16.0,20.0,4.0,15.935135135135134,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Width,decrease,-0.25,-0.2510176390773406,relative,16.0,12.0,-4.0,-15.935135135135134,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Centralization,increase,0.25,0.9112806101967083,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Centralization,decrease,-0.25,-0.5258932155760738,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Density,increase,0.25,0.25011933174224343,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Density,decrease,-0.25,-0.25011933174224343,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Trend,increase,0.25,0.902941176470589,absolute,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Trend,decrease,-0.25,-176.11617647058821,absolute,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Churn,increase,0.25,0.01260835885707534,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Churn,decrease,-0.25,-0.2094488817384419,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Width,increase,0.5,0.4993215739484396,relative,16.0,24.0,8.0,16.02173913043478,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Width,decrease,-0.5,-0.4993215739484396,relative,16.0,8.0,-8.0,-16.02173913043478,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Centralization,increase,0.5,0.9112806101967083,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Centralization,decrease,-0.5,-0.6623845845042151,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Density,increase,0.5,0.49976133651551313,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Density,decrease,-0.5,-0.49260143198090695,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Trend,increase,0.5,0.06176470588235383,absolute,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Bridge Trend,decrease,-0.5,-171.45735294117648,absolute,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Churn,increase,0.5,0.026166692503588294,relative,16.0,16.0,0.0,0.0,achieved,False,42
tgbl_wiki,16,persistence_bridge_width,Churn,decrease,-0.5,-0.2703074886653946,relative,16.0,16.0,0.0,0.0,achieved,False,42
