analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
descriptive,0,2010-11-08,1.0,0.00196078431372549,0.03218914684517875,0.005555555555555555
descriptive,1,2011-02-06,3.0,0.0058823529411764705,0.09656744053553624,0.04138888888888889
descriptive,2,2011-05-07,17.0,0.017086834733893556,0.08517305227175616,0.06502044252044252
descriptive,3,2011-08-05,18.0,0.010364145658263305,0.07491810283435409,0.05434523809523809
descriptive,4,2011-11-03,27.0,0.018067226890756304,0.15254237288135594,0.09188143971038709
descriptive,5,2012-02-01,38.0,0.02226890756302521,0.1226321036889332,0.09896906198376784
descriptive,6,2012-05-01,84.0,0.0273109243697479,0.11750462897023216,0.07398807891454949
descriptive,7,2012-07-30,92.0,0.02815126050420168,0.10810425865261358,0.06988807488807489
descriptive,8,2012-10-28,67.0,0.025070028011204483,0.1710582538099986,0.08908449772260513
descriptive,9,2013-01-26,43.0,0.021848739495798318,0.17433414043583534,0.12309932081511366
descriptive,10,2013-04-26,35.0,0.01834733893557423,0.11807434838342117,0.08793410293410292
descriptive,11,2013-07-25,41.0,0.01568627450980392,0.09514314200256374,0.04660621785621785
descriptive,12,2013-10-23,33.0,0.016666666666666666,0.1625124626121635,0.07920667295667294
descriptive,13,2014-01-21,34.0,0.013025210084033614,0.10639510041304658,0.05232781107781106
descriptive,14,2014-04-21,22.0,0.012184873949579832,0.13288705312633528,0.06504051368021956
descriptive,15,2014-07-20,20.0,0.011764705882352941,0.1162227602905569,0.06007034632034632
descriptive,16,2014-10-18,18.0,0.007703081232492998,0.07762427004700186,0.021283068783068786
descriptive,17,2015-01-16,1.0,0.00028011204481792715,0.008260931491240565,0.0
descriptive,18,2015-04-16,4.0,0.000980392156862745,0.033186155818259504,0.0
descriptive,19,2015-07-15,1.0,0.00014005602240896358,0.008403361344537815,0.0
