dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
bitcoin_alpha,descriptive,20,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,1962,1962,True,0,ok,True,0.09682804674457436,1.0,1.0,0.0,0.0,achieved,False
bitcoin_alpha,descriptive,20,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,1962,1962,True,0,ok,True,-0.09682804674457425,1.0,1.0,0.0,0.0,achieved,False
bitcoin_alpha,descriptive,20,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,1962,1962,True,0,ok,True,0.8401200171453066,1.0,1.0,0.0,0.0,achieved,False
bitcoin_alpha,descriptive,20,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,1962,1962,True,0,ok,True,-0.37291041577368195,1.0,1.0,0.0,0.0,achieved,False
bitcoin_alpha,descriptive,20,persistence_bridge_width,Density,increase,0.1,relative,42,True,,1962,2158,False,0,ok,True,0.09989806320081561,1.0,1.0,0.0,0.0,achieved,False
bitcoin_alpha,descriptive,20,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,1962,1768,False,0,ok,True,-0.09887869520897033,1.0,1.0,0.0,0.0,achieved,False
bitcoin_alpha,descriptive,20,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",1962,1962,True,0,saturated,False,0.952631578947369,1.0,1.0,0.0,0.0,achieved,False
bitcoin_alpha,descriptive,20,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,1962,2363,False,5,edge_count_infeasible,False,,,,,,,
bitcoin_alpha,descriptive,20,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,1962,1962,True,0,ok,True,0.0,1.0,1.0,0.0,0.0,requested,True
bitcoin_alpha,descriptive,20,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,1962,1962,True,0,ok,True,0.0,1.0,1.0,0.0,0.0,requested,True
bitcoin_alpha,descriptive,20,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,True,,1962,1962,True,0,ok,True,0.24874791318864772,1.0,1.0,0.0,0.0,achieved,False
bitcoin_alpha,descriptive,20,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,1962,1962,True,0,ok,True,-0.24874791318864772,1.0,1.0,0.0,0.0,achieved,False
