dataset,analysis_mode,transformation,requested_delta,declares_edge_count_preservation,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_checked,snapshots_violating,strict_mode_raises,strict_mode_reason,strict_agrees_with_measurement,transformation_status
bitcoin_alpha,descriptive,Bridge Width,0.1,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Bridge Width,-0.1,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Bridge Width,0.25,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Bridge Width,-0.25,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Bridge Width,0.5,True,False,insufficient intra-community edges to preserve total edge count,1962,1963,False,20,1,True,insufficient intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_alpha,descriptive,Bridge Width,-0.5,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Centralization,0.1,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Centralization,-0.1,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Centralization,0.25,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Centralization,-0.25,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Centralization,0.5,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Centralization,-0.5,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Density,0.1,False,True,,1962,2158,False,20,0,False,,True,ok
bitcoin_alpha,descriptive,Density,-0.1,False,True,,1962,1768,False,20,0,False,,True,ok
bitcoin_alpha,descriptive,Density,0.25,False,True,,1962,2452,False,20,0,False,,True,ok
bitcoin_alpha,descriptive,Density,-0.25,False,True,,1962,1472,False,20,0,False,,True,ok
bitcoin_alpha,descriptive,Density,0.5,False,True,,1962,2941,False,20,0,False,,True,ok
bitcoin_alpha,descriptive,Density,-0.5,False,True,,1962,990,False,20,0,False,,True,ok
bitcoin_alpha,descriptive,Bridge Trend,0.1,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Bridge Trend,-0.1,True,False,insufficient intra-community edges to preserve total edge count,1962,2363,False,20,5,True,insufficient intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_alpha,descriptive,Bridge Trend,0.25,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Bridge Trend,-0.25,True,False,insufficient cross-community non-edges to widen the bridge,1962,15883,False,20,15,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
bitcoin_alpha,descriptive,Bridge Trend,0.5,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Bridge Trend,-0.5,True,False,insufficient cross-community non-edges to widen the bridge,1962,43401,False,20,19,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
bitcoin_alpha,descriptive,Churn,0.1,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Churn,-0.1,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Churn,0.25,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Churn,-0.25,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Churn,0.5,True,True,,1962,1962,True,20,0,False,,True,ok
bitcoin_alpha,descriptive,Churn,-0.5,True,True,,1962,1962,True,20,0,False,,True,ok
