analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
descriptive,0,2010-11-08,1.0,0.0011204481792717086,0.03304372596496226,0.0
descriptive,1,2011-02-06,2.0,0.003781512605042017,0.07306651474148981,0.03476851851851852
descriptive,2,2011-05-07,12.0,0.009523809523809525,0.06722689075630252,0.033835978835978824
descriptive,3,2011-08-05,4.0,0.008123249299719889,0.0771969804871101,0.03404761904761904
descriptive,4,2011-11-03,8.0,0.01526610644257703,0.12975359635379577,0.07727078205019383
descriptive,5,2012-02-01,11.0,0.017226890756302522,0.09357641361629397,0.07782365782365783
descriptive,6,2012-05-01,56.0,0.023669467787114845,0.11266201395812563,0.06073916823916825
descriptive,7,2012-07-30,67.0,0.02535014005602241,0.10240706452072354,0.054453601953601945
descriptive,8,2012-10-28,79.0,0.02492997198879552,0.17120068366329583,0.0889334083435746
descriptive,9,2013-01-26,61.0,0.025490196078431372,0.16208517305227177,0.12316399630641119
descriptive,10,2013-04-26,49.0,0.02226890756302521,0.11408631249109813,0.08560786435786433
descriptive,11,2013-07-25,52.0,0.020868347338935573,0.09841902862840052,0.06370041995041996
descriptive,12,2013-10-23,44.0,0.01876750700280112,0.1689218060105398,0.08468438968438967
descriptive,13,2014-01-21,32.0,0.014005602240896359,0.10539809143996581,0.03138944388944389
descriptive,14,2014-04-21,29.0,0.013585434173669468,0.14000854579119784,0.05188930622754152
descriptive,15,2014-07-20,19.0,0.012044817927170869,0.1159379005839624,0.05558201058201059
descriptive,16,2014-10-18,18.0,0.008403361344537815,0.06836632958268053,0.0035648148148148145
descriptive,17,2015-01-16,12.0,0.004621848739495798,0.02948297963253098,0.004166666666666667
descriptive,18,2015-04-16,8.0,0.0032212885154061623,0.039453069363338554,0.0
descriptive,19,2015-07-15,6.0,0.004061624649859944,0.05569007263922518,0.006904761904761904
descriptive,20,2015-10-13,6.0,0.002380952380952381,0.02321606608745193,0.0
