dataset,analysis_mode,transformation,requested_delta,declares_edge_count_preservation,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_checked,snapshots_violating,strict_mode_raises,strict_mode_reason,strict_agrees_with_measurement,transformation_status
bitcoin_otc,descriptive,Bridge Width,0.1,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Bridge Width,-0.1,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Bridge Width,0.25,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Bridge Width,-0.25,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Bridge Width,0.5,True,False,insufficient removable intra-community edges to preserve total edge count,1990,1991,False,21,1,True,insufficient removable intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_otc,descriptive,Bridge Width,-0.5,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Centralization,0.1,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Centralization,-0.1,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Centralization,0.25,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Centralization,-0.25,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Centralization,0.5,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Centralization,-0.5,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Density,0.1,False,True,,1990,2190,False,21,0,False,,True,ok
bitcoin_otc,descriptive,Density,-0.1,False,True,,1990,1790,False,21,0,False,,True,ok
bitcoin_otc,descriptive,Density,0.25,False,True,,1990,2487,False,21,0,False,,True,ok
bitcoin_otc,descriptive,Density,-0.25,False,True,,1990,1498,False,21,0,False,,True,ok
bitcoin_otc,descriptive,Density,0.5,False,True,,1990,2987,False,21,0,False,,True,ok
bitcoin_otc,descriptive,Density,-0.5,False,True,,1990,1019,False,21,0,False,,True,ok
bitcoin_otc,descriptive,Bridge Trend,0.1,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Bridge Trend,-0.1,True,False,insufficient intra-community edges to preserve total edge count,1990,2525,False,21,5,True,insufficient intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_otc,descriptive,Bridge Trend,0.25,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Bridge Trend,-0.25,True,False,insufficient cross-community non-edges to widen the bridge,1990,19815,False,21,16,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
bitcoin_otc,descriptive,Bridge Trend,0.5,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Bridge Trend,-0.5,True,False,insufficient cross-community non-edges to widen the bridge,1990,47902,False,21,19,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
bitcoin_otc,descriptive,Churn,0.1,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Churn,-0.1,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Churn,0.25,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Churn,-0.25,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Churn,0.5,True,True,,1990,1990,True,21,0,False,,True,ok
bitcoin_otc,descriptive,Churn,-0.5,True,True,,1990,1990,True,21,0,False,,True,ok
