analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
descriptive,0,2021-05,100,17,95,0.01919191919191919,1.9,16,26,84,False
descriptive,1,2021-06,100,22,152,0.030707070707070707,3.04,21,31,79,False
descriptive,2,2021-07,100,23,137,0.027676767676767678,2.74,20,28,78,False
descriptive,3,2021-08,100,20,133,0.026868686868686868,2.66,19,35,81,False
descriptive,4,2021-09,100,24,178,0.03595959595959596,3.56,21,40,77,False
descriptive,5,2021-10,100,31,244,0.04929292929292929,4.88,27,35,70,False
descriptive,6,2021-11,100,37,436,0.08808080808080808,8.72,35,70,64,False
descriptive,7,2021-12,100,49,801,0.1618181818181818,16.02,46,89,52,False
descriptive,8,2022-01,100,54,869,0.17555555555555555,17.38,49,84,47,False
descriptive,9,2022-02,100,56,963,0.19454545454545455,19.26,54,181,45,False
descriptive,10,2022-03,100,56,853,0.17232323232323232,17.06,54,229,45,False
descriptive,11,2022-04,100,57,1068,0.21575757575757576,21.36,56,426,44,False
descriptive,12,2022-05,100,65,1585,0.3202020202020202,31.7,63,688,36,False
descriptive,13,2022-06,100,65,1607,0.3246464646464646,32.14,64,727,36,False
descriptive,14,2022-07,100,68,1392,0.2812121212121212,27.84,66,625,33,False
descriptive,15,2022-08,100,73,2293,0.4632323232323232,45.86,72,1143,28,False
descriptive,16,2022-09,100,79,2516,0.5082828282828283,50.32,78,1265,22,False
descriptive,17,2022-10,100,82,2700,0.5454545454545454,54.0,81,1353,19,False
descriptive,18,2022-11,100,81,2783,0.5622222222222222,55.66,80,1423,20,False
descriptive,19,2022-12,100,82,2845,0.5747474747474748,56.9,81,1428,19,False
descriptive,20,2023-01,100,75,2193,0.44303030303030305,43.86,73,1077,26,False
descriptive,21,2023-02,100,70,1819,0.36747474747474745,36.38,69,883,31,False
descriptive,22,2023-03,100,71,2152,0.43474747474747477,43.04,70,1027,30,False
descriptive,23,2023-04,100,69,2001,0.40424242424242424,40.02,68,944,32,False
