dataset,analysis_mode,transformation,property,before,after,change,delta,transformation_status,valid_for_analysis
decentraland,descriptive,Bridge Width,bridge width,577.375,635.125,57.75,0.1,ok,True
decentraland,descriptive,Bridge Width,centralization,0.27773483130625987,0.27773483130625987,0.0,0.1,ok,True
decentraland,descriptive,Bridge Width,density,0.2678030303030303,0.2678030303030303,0.0,0.1,ok,True
decentraland,descriptive,Bridge Width,clustering,0.48204710312311655,0.5001248190215453,0.018077715898428715,0.1,ok,True
decentraland,descriptive,Centralization,bridge width,577.375,577.375,0.0,0.1,ok,True
decentraland,descriptive,Centralization,centralization,0.27773483130625987,0.28460626674912387,0.0068714354428640045,0.1,ok,True
decentraland,descriptive,Centralization,density,0.2678030303030303,0.2678030303030303,0.0,0.1,ok,True
decentraland,descriptive,Centralization,clustering,0.48204710312311655,0.4822166289173097,0.00016952579419315938,0.1,ok,True
decentraland,descriptive,Density,bridge width,577.375,577.375,0.0,0.1,ok,True
decentraland,descriptive,Density,centralization,0.27773483130625987,0.2718769325912183,-0.005857898715041554,0.1,ok,True
decentraland,descriptive,Density,density,0.2678030303030303,0.29458754208754206,0.026784511784511744,0.1,ok,True
decentraland,descriptive,Density,clustering,0.48204710312311655,0.5292787400635516,0.04723163694043503,0.1,ok,True
decentraland,descriptive,Bridge Trend,bridge width,577.375,315.0,-262.375,0.1,wrong_direction,False
decentraland,descriptive,Bridge Trend,centralization,0.27773483130625987,0.2266285301999588,-0.05110630110630107,0.1,wrong_direction,False
decentraland,descriptive,Bridge Trend,density,0.2678030303030303,0.2678030303030303,0.0,0.1,wrong_direction,False
decentraland,descriptive,Bridge Trend,clustering,0.48204710312311655,0.48763525129858293,0.005588148175466379,0.1,wrong_direction,False
decentraland,descriptive,Churn,bridge width,577.375,577.375,0.0,0.1,ok,True
decentraland,descriptive,Churn,centralization,0.27773483130625987,0.27515804301518587,-0.0025767882910739948,0.1,ok,True
decentraland,descriptive,Churn,density,0.2678030303030303,0.2678030303030303,0.0,0.1,ok,True
decentraland,descriptive,Churn,clustering,0.48204710312311655,0.48735238928866953,0.00530528616555298,0.1,ok,True
