dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
decentraland,descriptive,24,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,31815,31815,True,0,ok,True,0.10002164970772895,944.0,1038.0,94.0,939.7965367965368,achieved,False
decentraland,descriptive,24,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,31815,31815,True,0,ok,True,-0.10002164970772895,944.0,850.0,-94.0,-939.7965367965368,achieved,False
decentraland,descriptive,24,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,31815,31815,True,0,ok,True,0.02474099273233335,944.0,944.0,0.0,0.0,achieved,False
decentraland,descriptive,24,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,31815,31815,True,0,ok,True,-0.3030771609710839,944.0,944.0,0.0,0.0,achieved,False
decentraland,descriptive,24,persistence_bridge_width,Density,increase,0.1,relative,42,True,,31815,34997,False,0,ok,True,0.10001571585729996,944.0,944.0,0.0,0.0,achieved,False
decentraland,descriptive,24,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,31815,28634,False,0,ok,True,-0.09998428414270004,944.0,944.0,0.0,0.0,achieved,False
decentraland,descriptive,24,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,achieved trend moved against the requested direction (clamp saturation),31815,31815,True,0,wrong_direction,False,-15.05086956521739,944.0,944.0,0.0,0.0,achieved,False
decentraland,descriptive,24,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient cross-community non-edges to widen the bridge,31815,58869,False,16,edge_count_infeasible,False,,,,,,,
decentraland,descriptive,24,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,31815,31815,True,0,ok,True,0.03817153668927961,944.0,944.0,0.0,0.0,achieved,False
decentraland,descriptive,24,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,31815,31815,True,0,ok,True,-0.04295393644366411,944.0,944.0,0.0,0.0,achieved,False
