analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
descriptive,0,d0-40,201,114,195,0.009701492537313432,1.9402985074626866,14,92,93,False
descriptive,1,d40-80,201,103,179,0.00890547263681592,1.7810945273631842,16,84,102,False
descriptive,2,d80-120,201,104,183,0.009104477611940298,1.8208955223880596,12,94,102,False
descriptive,3,d120-160,201,105,161,0.008009950248756219,1.6019900497512438,12,77,101,False
descriptive,4,d160-200,201,107,163,0.008109452736318409,1.6218905472636815,12,81,99,False
descriptive,5,d200-240,201,113,192,0.00955223880597015,1.9104477611940298,14,103,93,False
descriptive,6,d240-280,201,111,207,0.010298507462686568,2.0597014925373136,14,108,93,False
descriptive,7,d280-320,201,94,152,0.007562189054726368,1.5124378109452736,10,76,113,False
descriptive,8,d320-360,201,113,182,0.009054726368159204,1.8109452736318408,13,98,95,False
descriptive,9,d360-400,201,120,196,0.009751243781094527,1.9502487562189055,16,97,87,False
descriptive,10,d400-440,201,106,157,0.007810945273631841,1.5621890547263682,12,78,100,False
descriptive,11,d440-480,201,131,264,0.013134328358208954,2.626865671641791,20,138,72,False
descriptive,12,d480-520,201,124,241,0.011990049751243782,2.398009950248756,14,127,78,False
descriptive,13,d520-560,201,76,80,0.003980099502487562,0.7960199004975125,9,43,140,False
descriptive,14,d760-800,201,24,16,0.0007960199004975124,0.15920398009950248,3,9,185,False
descriptive,15,d800-840,201,49,43,0.002139303482587065,0.42786069651741293,7,28,161,False
