analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
descriptive,0,2009-09-29,120,59,576,0.08067226890756303,9.6,45,203,62,False
descriptive,1,2010-01-27,120,77,938,0.13137254901960785,15.633333333333333,60,338,44,False
descriptive,2,2010-05-27,120,87,1022,0.14313725490196078,17.033333333333335,67,390,34,False
descriptive,3,2010-09-24,120,101,1239,0.17352941176470588,20.65,58,465,20,False
descriptive,4,2011-01-22,120,106,980,0.13725490196078433,16.333333333333332,60,353,15,False
descriptive,5,2011-05-22,120,110,854,0.11960784313725491,14.233333333333333,47,276,11,False
descriptive,6,2011-09-19,120,112,836,0.11708683473389356,13.933333333333334,59,306,9,False
descriptive,7,2012-01-17,120,113,782,0.10952380952380952,13.033333333333333,52,277,8,False
descriptive,8,2012-05-16,120,113,790,0.11064425770308123,13.166666666666666,54,284,8,False
descriptive,9,2012-09-13,120,109,679,0.09509803921568627,11.316666666666666,39,238,12,False
descriptive,10,2013-01-11,120,112,619,0.08669467787114846,10.316666666666666,34,226,9,False
descriptive,11,2013-05-11,120,111,626,0.0876750700280112,10.433333333333334,39,220,10,False
descriptive,12,2013-09-08,120,110,541,0.0757703081232493,9.016666666666667,48,194,11,False
descriptive,13,2014-01-06,120,108,468,0.06554621848739496,7.8,36,172,13,False
descriptive,14,2014-05-06,120,111,474,0.06638655462184874,7.9,42,163,10,False
descriptive,15,2014-09-03,120,111,511,0.07156862745098039,8.516666666666667,42,157,10,False
descriptive,16,2015-01-01,120,106,455,0.06372549019607843,7.583333333333333,35,132,15,False
descriptive,17,2015-05-01,120,105,414,0.05798319327731093,6.9,31,157,17,False
descriptive,18,2015-08-29,120,105,497,0.0696078431372549,8.283333333333333,44,156,16,False
descriptive,19,2015-12-27,120,93,235,0.032913165266106444,3.9166666666666665,25,69,28,False
