dataset,analysis_mode,transformation,property,before,after,change,delta,transformation_status,valid_for_analysis
sx_mathoverflow,descriptive,Bridge Width,bridge width,238.8,262.75,23.94999999999999,0.1,ok,True
sx_mathoverflow,descriptive,Bridge Width,centralization,0.29542800170915823,0.28260931491240565,-0.012818686796752576,0.1,ok,True
sx_mathoverflow,descriptive,Bridge Width,density,0.09478991596638656,0.09478991596638656,0.0,0.1,ok,True
sx_mathoverflow,descriptive,Bridge Width,clustering,0.2685989787647157,0.24507879621181,-0.023520182552905722,0.1,ok,True
sx_mathoverflow,descriptive,Centralization,bridge width,238.8,238.8,0.0,0.1,ok,True
sx_mathoverflow,descriptive,Centralization,centralization,0.29542800170915823,0.6513602050989886,0.3559322033898304,0.1,ok,True
sx_mathoverflow,descriptive,Centralization,density,0.09478991596638656,0.09478991596638656,0.0,0.1,ok,True
sx_mathoverflow,descriptive,Centralization,clustering,0.2685989787647157,0.3528266763580613,0.08422769759334559,0.1,ok,True
sx_mathoverflow,descriptive,Density,bridge width,238.8,238.8,0.0,0.1,ok,True
sx_mathoverflow,descriptive,Density,centralization,0.29542800170915823,0.2947585813986612,-0.0006694203104970486,0.1,ok,True
sx_mathoverflow,descriptive,Density,density,0.09478991596638656,0.1042717086834734,0.009481792717086837,0.1,ok,True
sx_mathoverflow,descriptive,Density,clustering,0.2685989787647157,0.25861486365073005,-0.00998411511398567,0.1,ok,True
sx_mathoverflow,descriptive,Bridge Trend,bridge width,238.8,122.75,-116.05000000000001,0.1,saturated,False
sx_mathoverflow,descriptive,Bridge Trend,centralization,0.29542800170915823,0.2390257798034468,-0.056402221905711425,0.1,saturated,False
sx_mathoverflow,descriptive,Bridge Trend,density,0.09478991596638656,0.09478991596638656,0.0,0.1,saturated,False
sx_mathoverflow,descriptive,Bridge Trend,clustering,0.2685989787647157,0.23643629592406126,-0.03216268284065446,0.1,saturated,False
sx_mathoverflow,descriptive,Churn,bridge width,238.8,238.8,0.0,0.1,ok,True
sx_mathoverflow,descriptive,Churn,centralization,0.29542800170915823,0.2924369747899159,-0.002991026919242301,0.1,ok,True
sx_mathoverflow,descriptive,Churn,density,0.09478991596638656,0.09478991596638656,0.0,0.1,ok,True
sx_mathoverflow,descriptive,Churn,clustering,0.2685989787647157,0.26317672126252967,-0.005422257502186056,0.1,ok,True
