dataset,analysis_mode,transformation,requested_delta,declares_edge_count_preservation,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_checked,snapshots_violating,strict_mode_raises,strict_mode_reason,strict_agrees_with_measurement,transformation_status
sx_mathoverflow,descriptive,Bridge Width,0.1,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Width,-0.1,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Width,0.25,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Width,-0.25,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Width,0.5,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Width,-0.5,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Centralization,0.1,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Centralization,-0.1,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Centralization,0.25,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Centralization,-0.25,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Centralization,0.5,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Centralization,-0.5,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Density,0.1,False,True,,13536,14890,False,20,0,False,,True,ok
sx_mathoverflow,descriptive,Density,-0.1,False,True,,13536,12183,False,20,0,False,,True,ok
sx_mathoverflow,descriptive,Density,0.25,False,True,,13536,16922,False,20,0,False,,True,ok
sx_mathoverflow,descriptive,Density,-0.25,False,True,,13536,10150,False,20,0,False,,True,ok
sx_mathoverflow,descriptive,Density,0.5,False,True,,13536,20302,False,20,0,False,,True,ok
sx_mathoverflow,descriptive,Density,-0.5,False,True,,13536,6770,False,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Trend,0.1,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Trend,-0.1,True,False,insufficient intra-community edges to preserve total edge count,13536,15797,False,20,7,True,insufficient intra-community edges to preserve total edge count,True,edge_count_infeasible
sx_mathoverflow,descriptive,Bridge Trend,0.25,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Trend,-0.25,True,False,insufficient cross-community non-edges to widen the bridge,13536,44046,False,20,15,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
sx_mathoverflow,descriptive,Bridge Trend,0.5,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Bridge Trend,-0.5,True,False,insufficient cross-community non-edges to widen the bridge,13536,58999,False,20,18,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
sx_mathoverflow,descriptive,Churn,0.1,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Churn,-0.1,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Churn,0.25,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Churn,-0.25,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Churn,0.5,True,True,,13536,13536,True,20,0,False,,True,ok
sx_mathoverflow,descriptive,Churn,-0.5,True,True,,13536,13536,True,20,0,False,,True,ok
