analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
descriptive,0,d0-60,6.0,0.0018207282913165266,0.09215211508332147,0.022525252525252525
descriptive,1,d60-120,6.0,0.0016806722689075631,0.10084033613445378,0.0
descriptive,2,d120-180,6.0,0.00196078431372549,0.049280729240848885,0.03861111111111111
descriptive,3,d180-240,8.0,0.0036414565826330533,0.056117362199116935,0.053769841269841266
descriptive,4,d240-300,12.0,0.0056022408963585435,0.08830650904429568,0.060865800865800866
descriptive,5,d300-360,21.0,0.0065826330532212885,0.11294687366472013,0.09183353683353683
descriptive,6,d360-420,22.0,0.012324929971988795,0.09856145848169777,0.09878200503200502
descriptive,7,d420-480,56.0,0.02072829131652661,0.1412904144708731,0.19872345003923947
descriptive,8,d480-540,45.0,0.01946778711484594,0.09984332716137302,0.16964382839382838
descriptive,9,d540-600,56.0,0.023669467787114845,0.13829938755163082,0.21830014770804237
descriptive,10,d600-660,74.0,0.04019607843137255,0.16422162085173053,0.3669604996882389
descriptive,11,d660-720,86.0,0.045098039215686274,0.18487394957983194,0.36261133925414113
descriptive,12,d720-780,95.0,0.048179271708683476,0.2073778664007976,0.36938124859998195
descriptive,13,d780-840,96.0,0.0546218487394958,0.13245976356644354,0.376905734301245
descriptive,14,d840-900,103.0,0.06008403361344538,0.2380002848597066,0.4017228784961983
descriptive,15,d900-960,117.0,0.06316526610644257,0.3886910696481983,0.40940694247515175
descriptive,16,d960-1020,107.0,0.055322128851540614,0.3283008118501638,0.45377744350486593
descriptive,17,d1020-1080,118.0,0.07100840336134454,0.29525708588520155,0.41223156562759267
descriptive,18,d1080-1140,105.0,0.06582633053221289,0.21506907847884918,0.3937632567649824
descriptive,19,d1140-1200,94.0,0.04523809523809524,0.29582680529839056,0.30973049553931903
descriptive,20,d1200-1260,20.0,0.009523809523809525,0.09286426434980773,0.12645622895622896
descriptive,21,d1260-1320,6.0,0.0029411764705882353,0.08246688505910839,0.030555555555555558
