dataset,analysis_mode,transformation,requested_delta,declares_edge_count_preservation,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_checked,snapshots_violating,strict_mode_raises,strict_mode_reason,strict_agrees_with_measurement,transformation_status
tgbl_enron,descriptive,Bridge Width,0.1,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Width,-0.1,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Width,0.25,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Width,-0.25,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Width,0.5,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Width,-0.5,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Centralization,0.1,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Centralization,-0.1,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Centralization,0.25,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Centralization,-0.25,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Centralization,0.5,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Centralization,-0.5,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Density,0.1,False,True,,4703,5174,False,22,0,False,,True,ok
tgbl_enron,descriptive,Density,-0.1,False,True,,4703,4233,False,22,0,False,,True,ok
tgbl_enron,descriptive,Density,0.25,False,True,,4703,5880,False,22,0,False,,True,ok
tgbl_enron,descriptive,Density,-0.25,False,True,,4703,3527,False,22,0,False,,True,ok
tgbl_enron,descriptive,Density,0.5,False,True,,4703,7053,False,22,0,False,,True,ok
tgbl_enron,descriptive,Density,-0.5,False,True,,4703,2372,False,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Trend,0.1,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Trend,-0.1,True,False,insufficient intra-community edges to preserve total edge count,4703,8218,False,22,10,True,insufficient intra-community edges to preserve total edge count,True,edge_count_infeasible
tgbl_enron,descriptive,Bridge Trend,0.25,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Trend,-0.25,True,False,insufficient cross-community non-edges to widen the bridge,4703,42392,False,22,16,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
tgbl_enron,descriptive,Bridge Trend,0.5,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Bridge Trend,-0.5,True,False,insufficient cross-community non-edges to widen the bridge,4703,60390,False,22,19,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
tgbl_enron,descriptive,Churn,0.1,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Churn,-0.1,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Churn,0.25,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Churn,-0.25,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Churn,0.5,True,True,,4703,4703,True,22,0,False,,True,ok
tgbl_enron,descriptive,Churn,-0.5,True,True,,4703,4703,True,22,0,False,,True,ok
