analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
descriptive,0,d0-10,120,24,36,0.005042016806722689,0.6,8,17,98,False
descriptive,1,d10-20,120,86,362,0.05070028011204482,6.033333333333333,23,135,35,False
descriptive,2,d20-30,120,97,436,0.06106442577030812,7.266666666666667,25,172,24,False
descriptive,3,d30-40,120,112,527,0.07380952380952381,8.783333333333333,36,188,9,False
descriptive,4,d40-50,120,111,287,0.04019607843137255,4.783333333333333,27,90,10,False
descriptive,5,d50-60,120,93,149,0.020868347338935573,2.4833333333333334,11,45,28,False
descriptive,6,d60-70,120,36,24,0.0033613445378151263,0.4,5,4,96,False
descriptive,7,d70-80,120,63,87,0.012184873949579832,1.45,24,25,58,False
descriptive,8,d80-90,120,66,84,0.011764705882352941,1.4,22,20,56,False
descriptive,9,d90-100,120,41,52,0.007282913165266107,0.8666666666666667,8,17,84,False
descriptive,10,d100-110,120,38,58,0.008123249299719889,0.9666666666666667,11,25,84,False
descriptive,11,d110-120,120,34,29,0.004061624649859944,0.48333333333333334,6,12,93,False
descriptive,12,d120-130,120,36,44,0.0061624649859943975,0.7333333333333333,10,16,86,False
descriptive,13,d130-140,120,34,33,0.004621848739495798,0.55,8,14,93,False
descriptive,14,d140-150,120,28,28,0.00392156862745098,0.4666666666666667,6,10,95,False
descriptive,15,d150-160,120,29,27,0.003781512605042017,0.45,10,10,95,False
descriptive,16,d160-170,120,28,22,0.0030812324929971988,0.36666666666666664,6,10,98,False
descriptive,17,d170-180,120,19,14,0.00196078431372549,0.23333333333333334,5,7,106,False
descriptive,18,d180-190,120,23,19,0.002661064425770308,0.31666666666666665,9,5,101,False
descriptive,19,d190-200,120,12,9,0.0012605042016806723,0.15,5,2,111,False
