dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,2327,2327,True,0,ok,True,0.10194174757281542,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,2327,2327,True,0,ok,True,-0.1019417475728156,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,2327,2327,True,0,ok,True,1.0255654608413765,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,2327,2327,True,0,ok,True,-0.4155308332719368,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Density,increase,0.1,relative,42,True,,2327,2560,False,0,ok,True,0.10012892135797169,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,2327,2094,False,0,ok,True,-0.10012892135797156,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",2327,2327,True,0,saturated,False,2.042105263157894,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,2327,2494,False,4,edge_count_infeasible,False,,,,,,,
tgbl_uci,descriptive,20,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,2327,2327,True,0,ok,True,0.0,2.0,2.0,0.0,0.0,requested,True
tgbl_uci,descriptive,20,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,2327,2327,True,0,ok,True,-0.06959058564513287,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,True,,2327,2327,True,0,ok,True,0.24635922330097082,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,2327,2327,True,0,ok,True,-0.2463592233009709,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Centralization,increase,0.25,relative,42,True,,2327,2327,True,0,ok,True,1.7416930671185447,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Centralization,decrease,-0.25,relative,42,True,,2327,2327,True,0,ok,True,-0.627716790687394,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Density,increase,0.25,relative,42,True,,2327,2909,False,0,ok,True,0.25010743446497635,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Density,decrease,-0.25,relative,42,True,,2327,1752,False,0,ok,True,-0.24709926944563818,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Trend,increase,0.25,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",2327,2327,True,0,saturated,False,3.3368421052631567,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Trend,decrease,-0.25,absolute,42,False,insufficient intra-community edges to preserve total edge count,2327,10756,False,16,edge_count_infeasible,False,,,,,,,
tgbl_uci,descriptive,20,persistence_bridge_width,Churn,increase,0.25,relative,42,True,,2327,2327,True,0,ok,True,0.013613044607050028,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Churn,decrease,-0.25,relative,42,True,,2327,2327,True,0,ok,True,-0.14652567744217143,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,descriptive,20,persistence_bridge_width,Bridge Width,increase,0.5,relative,42,False,insufficient removable intra-community edges to preserve total edge count,2327,2331,False,2,edge_count_infeasible,False,,,,,,,
