dataset,analysis_mode,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
tgbl_uci,descriptive,Bridge Width,structural,True,0,0.1,20,18,0.9,False,True
tgbl_uci,descriptive,Bridge Width,structural,True,0,-0.1,20,18,0.9,False,True
tgbl_uci,descriptive,Bridge Width,structural,True,0,0.25,20,19,0.95,False,True
tgbl_uci,descriptive,Bridge Width,structural,True,0,-0.25,20,19,0.95,False,True
tgbl_uci,descriptive,Bridge Width,structural,True,2,0.5,20,20,1.0,True,False
tgbl_uci,descriptive,Bridge Width,structural,True,0,-0.5,20,20,1.0,True,False
tgbl_uci,descriptive,Centralization,structural,True,0,0.1,20,19,0.95,False,True
tgbl_uci,descriptive,Centralization,structural,True,0,-0.1,20,20,1.0,True,False
tgbl_uci,descriptive,Centralization,structural,True,0,0.25,20,19,0.95,False,True
tgbl_uci,descriptive,Centralization,structural,True,0,-0.25,20,20,1.0,True,False
tgbl_uci,descriptive,Centralization,structural,True,0,0.5,20,19,0.95,False,True
tgbl_uci,descriptive,Centralization,structural,True,0,-0.5,20,20,1.0,True,False
tgbl_uci,descriptive,Density,structural,False,0,0.1,20,20,1.0,True,False
tgbl_uci,descriptive,Density,structural,False,0,-0.1,20,20,1.0,True,False
tgbl_uci,descriptive,Density,structural,False,0,0.25,20,20,1.0,True,False
tgbl_uci,descriptive,Density,structural,False,0,-0.25,20,20,1.0,True,False
tgbl_uci,descriptive,Density,structural,False,0,0.5,20,20,1.0,True,False
tgbl_uci,descriptive,Density,structural,False,0,-0.5,20,20,1.0,True,False
tgbl_uci,descriptive,Bridge Trend,temporal,True,0,0.1,20,18,0.9,False,False
tgbl_uci,descriptive,Bridge Trend,temporal,True,4,-0.1,20,19,0.95,False,False
tgbl_uci,descriptive,Bridge Trend,temporal,True,0,0.25,20,19,0.95,False,False
tgbl_uci,descriptive,Bridge Trend,temporal,True,16,-0.25,20,19,0.95,False,False
tgbl_uci,descriptive,Bridge Trend,temporal,True,0,0.5,20,19,0.95,False,False
tgbl_uci,descriptive,Bridge Trend,temporal,True,18,-0.5,20,19,0.95,False,False
tgbl_uci,descriptive,Churn,temporal,True,0,0.1,20,0,0.0,False,False
tgbl_uci,descriptive,Churn,temporal,True,0,-0.1,20,18,0.9,False,False
tgbl_uci,descriptive,Churn,temporal,True,0,0.25,20,4,0.2,False,False
tgbl_uci,descriptive,Churn,temporal,True,0,-0.25,20,19,0.95,False,False
tgbl_uci,descriptive,Churn,temporal,True,0,0.5,20,8,0.4,False,False
tgbl_uci,descriptive,Churn,temporal,True,0,-0.5,20,19,0.95,False,False
