analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
descriptive,0,d0-d2,100,22,37,0.007474747474747475,0.74,9,9,83,False
descriptive,1,d2-d4,100,35,107,0.021616161616161617,2.14,17,45,67,False
descriptive,2,d4-d6,100,33,143,0.028888888888888888,2.86,19,42,68,False
descriptive,3,d6-d8,100,37,96,0.019393939393939394,1.92,21,35,68,False
descriptive,4,d8-d10,100,44,99,0.02,1.98,15,23,62,False
descriptive,5,d10-d12,100,45,149,0.0301010101010101,2.98,20,33,58,False
descriptive,6,d12-d14,100,52,180,0.03636363636363636,3.6,24,50,54,False
descriptive,7,d14-d16,100,54,247,0.0498989898989899,4.94,27,64,50,False
descriptive,8,d16-d18,100,55,152,0.030707070707070707,3.04,19,49,50,False
descriptive,9,d18-d20,100,62,160,0.03232323232323232,3.2,16,62,44,False
descriptive,10,d20-d22,100,58,140,0.028282828282828285,2.8,15,54,47,False
descriptive,11,d22-d24,100,55,142,0.028686868686868688,2.84,19,63,47,False
descriptive,12,d24-d26,100,50,170,0.03434343434343434,3.4,20,87,52,False
descriptive,13,d26-d28,100,44,97,0.019595959595959597,1.94,17,35,58,False
descriptive,14,d28-d30,100,36,134,0.02707070707070707,2.68,19,70,68,False
descriptive,15,d30-d32,100,27,42,0.008484848484848486,0.84,14,16,76,False
