dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
tgbl_wiki,descriptive,16,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,2095,2095,True,0,ok,True,0.09769335142469471,16.0,18.0,2.0,20.47222222222222,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,2095,2095,True,0,ok,True,-0.09769335142469471,16.0,14.0,-2.0,-20.47222222222222,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,2095,2095,True,0,ok,True,0.7025291047771982,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,2095,2095,True,0,ok,True,-0.3412284223203533,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Density,increase,0.1,relative,42,True,,2095,2305,False,0,ok,True,0.10023866348448687,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,2095,1885,False,0,ok,True,-0.10023866348448687,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",2095,2095,True,0,saturated,False,1.482352941176471,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,2095,2588,False,5,edge_count_infeasible,False,,,,,,,
tgbl_wiki,descriptive,16,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,2095,2095,True,0,ok,True,0.0052284595494757734,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,2095,2095,True,0,ok,True,-0.0904048420354766,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,True,,2095,2095,True,0,ok,True,0.2510176390773406,16.0,20.0,4.0,15.935135135135134,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,2095,2095,True,0,ok,True,-0.2510176390773406,16.0,12.0,-4.0,-15.935135135135134,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Centralization,increase,0.25,relative,42,True,,2095,2095,True,0,ok,True,0.9112806101967083,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Centralization,decrease,-0.25,relative,42,True,,2095,2095,True,0,ok,True,-0.5258932155760738,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Density,increase,0.25,relative,42,True,,2095,2619,False,0,ok,True,0.25011933174224343,16.0,16.0,0.0,0.0,achieved,False
tgbl_wiki,descriptive,16,persistence_bridge_width,Density,decrease,-0.25,relative,42,True,,2095,1571,False,0,ok,True,-0.25011933174224343,16.0,16.0,0.0,0.0,achieved,False
