dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,297,297,True,0,ok,True,0.09375000000000003,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,297,297,True,0,ok,True,-0.09375000000000003,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,297,297,True,0,ok,True,0.42392127176381517,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,297,297,True,0,ok,True,-0.2573807721423162,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Density,increase,0.1,relative,42,True,,297,326,False,0,ok,True,0.0976430976430976,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,297,268,False,0,ok,True,-0.0976430976430976,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,,297,297,True,0,ok,True,0.7527472527472527,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient removable intra-community edges to preserve total edge count,297,298,False,1,edge_count_infeasible,False,,,,,,,
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,297,297,True,0,ok,True,0.0,2.0,2.0,0.0,0.0,requested,True
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,297,297,True,0,ok,True,0.0,2.0,2.0,0.0,0.0,requested,True
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,False,insufficient removable intra-community edges to preserve total edge count,297,298,False,1,edge_count_infeasible,False,,,,,,,
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,297,297,True,0,ok,True,-0.24218750000000003,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Centralization,increase,0.25,relative,42,True,,297,297,True,0,ok,True,1.0143830431491292,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Centralization,decrease,-0.25,relative,42,True,,297,297,True,0,ok,True,-0.4390613171839514,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Density,increase,0.25,relative,42,True,,297,371,False,0,ok,True,0.2491582491582492,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Density,decrease,-0.25,relative,42,True,,297,225,False,0,ok,True,-0.2424242424242425,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Trend,increase,0.25,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",297,297,True,0,saturated,False,1.3131868131868127,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Trend,decrease,-0.25,absolute,42,False,insufficient intra-community edges to preserve total edge count,297,562,False,11,edge_count_infeasible,False,,,,,,,
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Churn,increase,0.25,relative,42,True,,297,297,True,0,ok,True,0.0,2.0,2.0,0.0,0.0,requested,True
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Churn,decrease,-0.25,relative,42,True,,297,297,True,0,ok,True,0.0,2.0,2.0,0.0,0.0,requested,True
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Width,increase,0.5,relative,42,False,insufficient removable intra-community edges to preserve total edge count,297,301,False,3,edge_count_infeasible,False,,,,,,,
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Width,decrease,-0.5,relative,42,True,,297,297,True,0,ok,True,-0.48437500000000006,2.0,1.0,-1.0,-2.064516129032258,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Centralization,increase,0.5,relative,42,True,,297,297,True,0,ok,True,1.3323239969719907,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Centralization,decrease,-0.5,relative,42,True,,297,297,True,0,ok,True,-0.6358819076457228,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Density,increase,0.5,relative,42,True,,297,446,False,0,ok,True,0.5016835016835016,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Density,decrease,-0.5,relative,42,True,,297,178,False,0,ok,True,-0.40067340067340074,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Trend,increase,0.5,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",297,297,True,0,saturated,False,1.714285714285714,2.0,2.0,0.0,0.0,achieved,False
bitcoin_alpha,temporal_evaluation,13,persistence_bridge_width,Bridge Trend,decrease,-0.5,absolute,42,False,insufficient cross-community non-edges to widen the bridge,297,11305,False,12,edge_count_infeasible,False,,,,,,,
