dataset,analysis_mode,transformation,requested_delta,declares_edge_count_preservation,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_checked,snapshots_violating,strict_mode_raises,strict_mode_reason,strict_agrees_with_measurement,transformation_status
bitcoin_alpha,temporal_evaluation,Bridge Width,0.1,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Bridge Width,-0.1,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Bridge Width,0.25,True,False,insufficient removable intra-community edges to preserve total edge count,297,298,False,13,1,True,insufficient removable intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_alpha,temporal_evaluation,Bridge Width,-0.25,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Bridge Width,0.5,True,False,insufficient removable intra-community edges to preserve total edge count,297,301,False,13,3,True,insufficient removable intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_alpha,temporal_evaluation,Bridge Width,-0.5,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Centralization,0.1,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Centralization,-0.1,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Centralization,0.25,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Centralization,-0.25,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Centralization,0.5,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Centralization,-0.5,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Density,0.1,False,True,,297,326,False,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Density,-0.1,False,True,,297,268,False,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Density,0.25,False,True,,297,371,False,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Density,-0.25,False,True,,297,225,False,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Density,0.5,False,True,,297,446,False,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Density,-0.5,False,True,,297,178,False,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Bridge Trend,0.1,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Bridge Trend,-0.1,True,False,insufficient removable intra-community edges to preserve total edge count,297,298,False,13,1,True,insufficient removable intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_alpha,temporal_evaluation,Bridge Trend,0.25,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Bridge Trend,-0.25,True,False,insufficient intra-community edges to preserve total edge count,297,562,False,13,11,True,insufficient intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_alpha,temporal_evaluation,Bridge Trend,0.5,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Bridge Trend,-0.5,True,False,insufficient cross-community non-edges to widen the bridge,297,11305,False,13,12,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
bitcoin_alpha,temporal_evaluation,Churn,0.1,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Churn,-0.1,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Churn,0.25,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Churn,-0.25,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Churn,0.5,True,True,,297,297,True,13,0,False,,True,ok
bitcoin_alpha,temporal_evaluation,Churn,-0.5,True,True,,297,297,True,13,0,False,,True,ok
