dataset,analysis_mode,transformation,requested_delta,declares_edge_count_preservation,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_checked,snapshots_violating,strict_mode_raises,strict_mode_reason,strict_agrees_with_measurement,transformation_status
bitcoin_otc,temporal_evaluation,Bridge Width,0.1,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Bridge Width,-0.1,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Bridge Width,0.25,True,False,insufficient removable intra-community edges to preserve total edge count,296,297,False,14,1,True,insufficient removable intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_otc,temporal_evaluation,Bridge Width,-0.25,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Bridge Width,0.5,True,False,insufficient removable intra-community edges to preserve total edge count,296,301,False,14,4,True,insufficient removable intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_otc,temporal_evaluation,Bridge Width,-0.5,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Centralization,0.1,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Centralization,-0.1,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Centralization,0.25,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Centralization,-0.25,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Centralization,0.5,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Centralization,-0.5,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Density,0.1,False,True,,296,324,False,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Density,-0.1,False,True,,296,268,False,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Density,0.25,False,True,,296,370,False,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Density,-0.25,False,True,,296,224,False,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Density,0.5,False,True,,296,444,False,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Density,-0.5,False,True,,296,178,False,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Bridge Trend,0.1,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Bridge Trend,-0.1,True,False,insufficient removable intra-community edges to preserve total edge count,296,299,False,14,2,True,insufficient removable intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_otc,temporal_evaluation,Bridge Trend,0.25,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Bridge Trend,-0.25,True,False,insufficient intra-community edges to preserve total edge count,296,604,False,14,12,True,insufficient intra-community edges to preserve total edge count,True,edge_count_infeasible
bitcoin_otc,temporal_evaluation,Bridge Trend,0.5,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Bridge Trend,-0.5,True,False,insufficient cross-community non-edges to widen the bridge,296,14594,False,14,13,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
bitcoin_otc,temporal_evaluation,Churn,0.1,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Churn,-0.1,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Churn,0.25,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Churn,-0.25,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Churn,0.5,True,True,,296,296,True,14,0,False,,True,ok
bitcoin_otc,temporal_evaluation,Churn,-0.5,True,True,,296,296,True,14,0,False,,True,ok
