analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
temporal_evaluation,0,2021-10,100,55,521,0.10525252525252525,10.42,37,234,46,False
temporal_evaluation,1,2021-11,100,66,840,0.1696969696969697,16.8,58,387,35,False
temporal_evaluation,2,2021-12,100,62,1007,0.20343434343434344,20.14,58,493,39,False
temporal_evaluation,3,2022-01,100,44,310,0.06262626262626263,6.2,30,112,57,False
temporal_evaluation,4,2022-02,100,51,394,0.0795959595959596,7.88,36,197,50,False
temporal_evaluation,5,2022-03,100,40,349,0.0705050505050505,6.98,37,180,61,False
temporal_evaluation,6,2022-04,100,31,173,0.03494949494949495,3.46,25,80,70,False
temporal_evaluation,7,2022-05,100,40,377,0.07616161616161617,7.54,35,180,61,False
temporal_evaluation,8,2022-06,100,33,272,0.05494949494949495,5.44,29,124,68,False
temporal_evaluation,9,2022-07,100,36,204,0.041212121212121214,4.08,28,99,65,False
temporal_evaluation,10,2022-08,100,39,385,0.07777777777777778,7.7,35,173,62,False
temporal_evaluation,11,2022-09,100,39,306,0.06181818181818182,6.12,32,155,62,False
temporal_evaluation,12,2022-10,100,36,256,0.05171717171717172,5.12,32,131,65,False
temporal_evaluation,13,2022-11,100,40,299,0.060404040404040404,5.98,33,148,61,False
temporal_evaluation,14,2022-12,100,37,251,0.05070707070707071,5.02,30,123,64,False
temporal_evaluation,15,2023-01,100,24,116,0.023434343434343436,2.32,22,48,77,False
temporal_evaluation,16,2023-02,100,23,121,0.024444444444444446,2.42,18,64,78,False
temporal_evaluation,17,2023-03,100,24,107,0.021616161616161617,2.14,21,47,77,False
temporal_evaluation,18,2023-04,100,18,68,0.013737373737373737,1.36,16,36,83,False
