dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,6356,6356,True,0,ok,True,0.09963467286615738,36.0,40.0,4.0,40.14666666666668,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,6356,6356,True,0,ok,True,-0.09963467286615756,36.0,32.0,-4.0,-40.14666666666661,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,6356,6356,True,0,ok,True,0.1856129351592149,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,6356,6356,True,0,ok,True,-0.3072925259858108,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Density,increase,0.1,relative,42,True,,6356,6993,False,0,ok,True,0.1002202643171805,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,6356,5719,False,0,ok,True,-0.10022026431718066,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",6356,6356,True,0,saturated,False,8.707017543859644,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,6356,7839,False,10,edge_count_infeasible,False,,,,,,,
decentraland,temporal_evaluation,19,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,6356,6356,True,0,ok,True,0.01438078310167903,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,6356,6356,True,0,ok,True,-0.08536789606543926,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,True,,6356,6356,True,0,ok,True,0.25008302889405504,36.0,45.0,9.0,35.988047808764954,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,6356,6356,True,0,ok,True,-0.2500830288940552,36.0,27.0,-9.0,-35.98804780876493,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Centralization,increase,0.25,relative,42,True,,6356,6356,True,0,ok,True,0.1856129351592149,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Centralization,decrease,-0.25,relative,42,True,,6356,6356,True,0,ok,True,-0.4846559973601715,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Density,increase,0.25,relative,42,True,,6356,7944,False,0,ok,True,0.24984266834487093,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Density,decrease,-0.25,relative,42,True,,6356,4768,False,0,ok,True,-0.24984266834487104,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Trend,increase,0.25,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",6356,6356,True,0,saturated,False,11.570175438596483,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Trend,decrease,-0.25,absolute,42,False,insufficient cross-community non-edges to widen the bridge,6356,25483,False,16,edge_count_infeasible,False,,,,,,,
decentraland,temporal_evaluation,19,persistence_bridge_width,Churn,increase,0.25,relative,42,True,,6356,6356,True,0,ok,True,0.03459485093527771,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Churn,decrease,-0.25,relative,42,True,,6356,6356,True,0,ok,True,-0.13167902036422144,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Width,increase,0.5,relative,42,True,,6356,6356,True,0,ok,True,0.499501826635669,36.0,54.0,18.0,36.03590425531917,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Width,decrease,-0.5,relative,42,True,,6356,6356,True,0,ok,True,-0.4995018266356693,36.0,18.0,-18.0,-36.035904255319146,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Centralization,increase,0.5,relative,42,True,,6356,6356,True,0,ok,True,0.1856129351592149,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Centralization,decrease,-0.5,relative,42,True,,6356,6356,True,0,ok,True,-0.6661442006269593,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Density,increase,0.5,relative,42,True,,6356,9535,False,0,ok,True,0.500157331655129,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Density,decrease,-0.5,relative,42,True,,6356,3196,False,0,ok,True,-0.4971680302076778,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Trend,increase,0.5,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",6356,6356,True,0,saturated,False,12.357894736842097,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Bridge Trend,decrease,-0.5,absolute,42,False,insufficient cross-community non-edges to widen the bridge,6356,36281,False,17,edge_count_infeasible,False,,,,,,,
decentraland,temporal_evaluation,19,persistence_bridge_width,Churn,increase,0.5,relative,42,True,,6356,6356,True,0,ok,True,0.0661677764027817,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,persistence_bridge_width,Churn,decrease,-0.5,relative,42,True,,6356,6356,True,0,ok,True,-0.15202098629244093,36.0,36.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Width,increase,0.1,relative,42,True,,6356,6356,True,0,ok,True,0.09963467286615738,14.0,15.438596491228168,1.438596491228168,14.438713450293385,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,6356,6356,True,0,ok,True,-0.09963467286615756,14.0,12.561403508772003,-1.4385964912279974,-14.438713450291647,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Centralization,increase,0.1,relative,42,True,,6356,6356,True,0,ok,True,0.1856129351592149,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Centralization,decrease,-0.1,relative,42,True,,6356,6356,True,0,ok,True,-0.3072925259858108,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Density,increase,0.1,relative,42,True,,6356,6993,False,0,ok,True,0.1002202643171805,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Density,decrease,-0.1,relative,42,True,,6356,5719,False,0,ok,True,-0.10022026431718066,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",6356,6356,True,0,saturated,False,8.707017543859644,14.0,32.4385964912281,18.438596491228097,2.117670763651022,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,6356,7839,False,10,edge_count_infeasible,False,,,,,,,
decentraland,temporal_evaluation,19,trend_bridge_width,Churn,increase,0.1,relative,42,True,,6356,6356,True,0,ok,True,0.01438078310167903,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Churn,decrease,-0.1,relative,42,True,,6356,6356,True,0,ok,True,-0.08536789606543926,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Width,increase,0.25,relative,42,True,,6356,6356,True,0,ok,True,0.25008302889405504,14.0,17.68421052631578,3.6842105263157805,14.731949395400822,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,6356,6356,True,0,ok,True,-0.2500830288940552,14.0,10.315789473684276,-3.6842105263157237,-14.731949395400585,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Centralization,increase,0.25,relative,42,True,,6356,6356,True,0,ok,True,0.1856129351592149,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Centralization,decrease,-0.25,relative,42,True,,6356,6356,True,0,ok,True,-0.4846559973601715,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Density,increase,0.25,relative,42,True,,6356,7944,False,0,ok,True,0.24984266834487093,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Density,decrease,-0.25,relative,42,True,,6356,4768,False,0,ok,True,-0.24984266834487104,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Trend,increase,0.25,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",6356,6356,True,0,saturated,False,11.570175438596483,14.0,28.22807017543861,14.22807017543861,1.2297194844579247,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Trend,decrease,-0.25,absolute,42,False,insufficient cross-community non-edges to widen the bridge,6356,25483,False,16,edge_count_infeasible,False,,,,,,,
decentraland,temporal_evaluation,19,trend_bridge_width,Churn,increase,0.25,relative,42,True,,6356,6356,True,0,ok,True,0.03459485093527771,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Churn,decrease,-0.25,relative,42,True,,6356,6356,True,0,ok,True,-0.13167902036422144,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Width,increase,0.5,relative,42,True,,6356,6356,True,0,ok,True,0.499501826635669,14.0,20.73684210526318,6.736842105263179,13.487122060470373,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Width,decrease,-0.5,relative,42,True,,6356,6356,True,0,ok,True,-0.4995018266356693,14.0,7.263157894736878,-6.736842105263122,-13.48712206047025,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Centralization,increase,0.5,relative,42,True,,6356,6356,True,0,ok,True,0.1856129351592149,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Centralization,decrease,-0.5,relative,42,True,,6356,6356,True,0,ok,True,-0.6661442006269593,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Density,increase,0.5,relative,42,True,,6356,9535,False,0,ok,True,0.500157331655129,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Density,decrease,-0.5,relative,42,True,,6356,3196,False,0,ok,True,-0.4971680302076778,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Trend,increase,0.5,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",6356,6356,True,0,saturated,False,12.357894736842097,14.0,18.473684210526322,4.473684210526322,0.36201022146507744,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Bridge Trend,decrease,-0.5,absolute,42,False,insufficient cross-community non-edges to widen the bridge,6356,36281,False,17,edge_count_infeasible,False,,,,,,,
decentraland,temporal_evaluation,19,trend_bridge_width,Churn,increase,0.5,relative,42,True,,6356,6356,True,0,ok,True,0.0661677764027817,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,trend_bridge_width,Churn,decrease,-0.5,relative,42,True,,6356,6356,True,0,ok,True,-0.15202098629244093,14.0,14.0,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,slope_bridge_width,Bridge Width,increase,0.1,relative,42,True,,6356,6356,True,0,ok,True,0.09963467286615738,-14.447368421052621,-15.882456140350868,-1.435087719298247,-14.403497076023411,achieved,False
decentraland,temporal_evaluation,19,slope_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,6356,6356,True,0,ok,True,-0.09963467286615756,-14.447368421052621,-13.012280701754381,1.4350877192982399,14.403497076023315,achieved,False
decentraland,temporal_evaluation,19,slope_bridge_width,Centralization,increase,0.1,relative,42,True,,6356,6356,True,0,ok,True,0.1856129351592149,-14.447368421052621,-14.447368421052621,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,slope_bridge_width,Centralization,decrease,-0.1,relative,42,True,,6356,6356,True,0,ok,True,-0.3072925259858108,-14.447368421052621,-14.447368421052621,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,slope_bridge_width,Density,increase,0.1,relative,42,True,,6356,6993,False,0,ok,True,0.1002202643171805,-14.447368421052621,-14.447368421052621,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,slope_bridge_width,Density,decrease,-0.1,relative,42,True,,6356,5719,False,0,ok,True,-0.10022026431718066,-14.447368421052621,-14.447368421052621,0.0,0.0,achieved,False
decentraland,temporal_evaluation,19,slope_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",6356,6356,True,0,saturated,False,8.707017543859644,-14.447368421052621,-5.740350877192977,8.707017543859644,1.0,achieved,False
decentraland,temporal_evaluation,19,slope_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,6356,7839,False,10,edge_count_infeasible,False,,,,,,,
