dataset,analysis_mode,transformation,requested_delta,declares_edge_count_preservation,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_checked,snapshots_violating,strict_mode_raises,strict_mode_reason,strict_agrees_with_measurement,transformation_status
decentraland,temporal_evaluation,Bridge Width,0.1,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Width,-0.1,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Width,0.25,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Width,-0.25,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Width,0.5,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Width,-0.5,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Centralization,0.1,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Centralization,-0.1,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Centralization,0.25,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Centralization,-0.25,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Centralization,0.5,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Centralization,-0.5,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Density,0.1,False,True,,6356,6993,False,19,0,False,,True,ok
decentraland,temporal_evaluation,Density,-0.1,False,True,,6356,5719,False,19,0,False,,True,ok
decentraland,temporal_evaluation,Density,0.25,False,True,,6356,7944,False,19,0,False,,True,ok
decentraland,temporal_evaluation,Density,-0.25,False,True,,6356,4768,False,19,0,False,,True,ok
decentraland,temporal_evaluation,Density,0.5,False,True,,6356,9535,False,19,0,False,,True,ok
decentraland,temporal_evaluation,Density,-0.5,False,True,,6356,3196,False,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Trend,0.1,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Trend,-0.1,True,False,insufficient intra-community edges to preserve total edge count,6356,7839,False,19,10,True,insufficient intra-community edges to preserve total edge count,True,edge_count_infeasible
decentraland,temporal_evaluation,Bridge Trend,0.25,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Trend,-0.25,True,False,insufficient cross-community non-edges to widen the bridge,6356,25483,False,19,16,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
decentraland,temporal_evaluation,Bridge Trend,0.5,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Bridge Trend,-0.5,True,False,insufficient cross-community non-edges to widen the bridge,6356,36281,False,19,17,True,insufficient cross-community non-edges to widen the bridge,True,edge_count_infeasible
decentraland,temporal_evaluation,Churn,0.1,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Churn,-0.1,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Churn,0.25,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Churn,-0.25,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Churn,0.5,True,True,,6356,6356,True,19,0,False,,True,ok
decentraland,temporal_evaluation,Churn,-0.5,True,True,,6356,6356,True,19,0,False,,True,ok
