analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
temporal_evaluation,0,d160-200,201,107,165,0.008208955223880597,1.6417910447761195,12,82,99,False
temporal_evaluation,1,d200-240,201,113,193,0.009601990049751244,1.9203980099502487,14,103,93,False
temporal_evaluation,2,d240-280,201,111,203,0.010099502487562188,2.0199004975124377,14,106,93,False
temporal_evaluation,3,d280-320,201,92,150,0.007462686567164179,1.492537313432836,10,75,114,False
temporal_evaluation,4,d320-360,201,113,186,0.009253731343283582,1.8507462686567164,13,99,94,False
temporal_evaluation,5,d360-400,201,120,195,0.009701492537313432,1.9402985074626866,16,97,88,False
temporal_evaluation,6,d400-440,201,105,156,0.007761194029850746,1.5522388059701493,12,78,101,False
temporal_evaluation,7,d440-480,201,132,269,0.013383084577114427,2.6766169154228856,20,139,71,False
temporal_evaluation,8,d480-520,201,123,245,0.01218905472636816,2.4378109452736316,15,128,79,False
temporal_evaluation,9,d520-560,201,55,55,0.002736318407960199,0.5472636815920398,9,31,159,False
temporal_evaluation,10,d760-800,201,45,41,0.0020398009950248755,0.4079601990049751,6,25,164,False
temporal_evaluation,11,d800-840,201,30,20,0.0009950248756218905,0.19900497512437812,3,11,181,False
