dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,1878,1878,True,0,ok,True,0.1006160164271046,11.0,12.0,1.0,9.938775510204094,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,1878,1878,True,0,ok,True,-0.10061601642710477,11.0,10.0,-1.0,-9.938775510204076,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,1878,1878,True,0,ok,True,1.5002382086707962,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,1878,1878,True,0,ok,True,-0.4069795140543115,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Density,increase,0.1,relative,42,True,,1878,2068,False,0,ok,True,0.1011714589989351,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,1878,1690,False,0,ok,True,-0.1001064962726304,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,,1878,1878,True,0,ok,True,5.832167832167834,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,1878,2135,False,5,edge_count_infeasible,False,,,,,,,
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,1878,1878,True,0,ok,True,0.00674945623336414,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,1878,1878,True,0,ok,True,-0.0307607512306026,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,False,insufficient removable intra-community edges to preserve total edge count,1878,1880,False,1,edge_count_infeasible,False,,,,,,,
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,1878,1878,True,0,ok,True,-0.25051334702258726,11.0,8.0,-3.0,-11.975409836065573,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Centralization,increase,0.25,relative,42,True,,1878,1878,True,0,ok,True,3.742615531205337,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Centralization,decrease,-0.25,relative,42,True,,1878,1878,True,0,ok,True,-0.5825393044306812,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Density,increase,0.25,relative,42,True,,1878,2347,False,0,ok,True,0.24973375931842393,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Density,decrease,-0.25,relative,42,True,,1878,1417,False,0,ok,True,-0.24547390841320557,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Bridge Trend,increase,0.25,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",1878,1878,True,0,saturated,False,8.262237762237763,11.0,11.0,0.0,0.0,achieved,False
email_eu_core,temporal_evaluation,12,persistence_bridge_width,Bridge Trend,decrease,-0.25,absolute,42,False,insufficient intra-community edges to preserve total edge count,1878,6663,False,10,edge_count_infeasible,False,,,,,,,
