analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
temporal_evaluation,0,2011-01-12,120,116,990,0.13865546218487396,16.5,59,386,5,False
temporal_evaluation,1,2011-05-12,120,112,628,0.08795518207282914,10.466666666666667,40,256,9,False
temporal_evaluation,2,2011-09-09,120,106,545,0.07633053221288516,9.083333333333334,43,207,15,False
temporal_evaluation,3,2012-01-07,120,93,355,0.04971988795518207,5.916666666666667,30,130,28,False
temporal_evaluation,4,2012-05-06,120,96,308,0.043137254901960784,5.133333333333334,28,132,25,False
temporal_evaluation,5,2012-09-03,120,100,330,0.046218487394957986,5.5,27,119,21,False
temporal_evaluation,6,2013-01-01,120,90,260,0.036414565826330535,4.333333333333333,22,97,31,False
temporal_evaluation,7,2013-05-01,120,88,255,0.03571428571428571,4.25,27,99,33,False
temporal_evaluation,8,2013-08-29,120,82,218,0.03053221288515406,3.6333333333333333,29,78,40,False
temporal_evaluation,9,2013-12-27,120,72,146,0.020448179271708684,2.433333333333333,25,56,50,False
temporal_evaluation,10,2014-04-26,120,84,196,0.027450980392156862,3.2666666666666666,30,76,38,False
temporal_evaluation,11,2014-08-24,120,82,218,0.03053221288515406,3.6333333333333333,29,77,39,False
temporal_evaluation,12,2014-12-22,120,81,163,0.022829131652661063,2.716666666666667,23,76,41,False
temporal_evaluation,13,2015-04-21,120,73,152,0.021288515406162466,2.533333333333333,23,64,49,False
temporal_evaluation,14,2015-08-19,120,76,178,0.02492997198879552,2.966666666666667,20,66,45,False
temporal_evaluation,15,2015-12-17,120,60,78,0.010924369747899159,1.3,10,29,61,False
