dataset,analysis_mode,transformation,property,before,after,change,delta,transformation_status,valid_for_analysis
sx_mathoverflow,temporal_evaluation,Bridge Width,bridge width,121.75,134.125,12.375,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Bridge Width,centralization,0.20367469021506907,0.19779945876655747,-0.0058752314485115975,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Bridge Width,density,0.04394257703081233,0.04394257703081233,0.0,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Bridge Width,clustering,0.14765853609875348,0.13841371883094694,-0.009244817267806543,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Centralization,bridge width,121.75,121.75,0.0,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Centralization,centralization,0.20367469021506907,0.44349095570431557,0.2398162654892465,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Centralization,density,0.04394257703081233,0.04394257703081233,0.0,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Centralization,clustering,0.14765853609875348,0.21060839669581943,0.06294986059706595,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Density,bridge width,121.75,121.75,0.0,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Density,centralization,0.20367469021506907,0.20079048568579974,-0.002884204529269324,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Density,density,0.04394257703081233,0.04835434173669467,0.004411764705882344,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Density,clustering,0.14765853609875348,0.14073862977347132,-0.006919906325282166,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Bridge Trend,bridge width,121.75,77.6875,-44.0625,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Bridge Trend,centralization,0.20367469021506907,0.1839125480700755,-0.019762142144993555,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Bridge Trend,density,0.04394257703081233,0.04394257703081233,0.0,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Bridge Trend,clustering,0.14765853609875348,0.12845004466506096,-0.01920849143369252,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Churn,bridge width,121.75,121.75,0.0,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Churn,centralization,0.20367469021506907,0.2015382424156103,-0.0021364477994587627,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Churn,density,0.04394257703081233,0.04394257703081233,0.0,0.1,ok,True
sx_mathoverflow,temporal_evaluation,Churn,clustering,0.14765853609875348,0.14488757857765935,-0.0027709575210941306,0.1,ok,True
