dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,5020,5020,True,0,ok,True,0.10164271047227925,29.0,32.0,3.0,29.515151515151516,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,5020,5020,True,0,ok,True,-0.10164271047227925,29.0,26.0,-3.0,-29.515151515151516,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,5020,5020,True,0,ok,True,1.1774475524475523,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,5020,5020,True,0,ok,True,-0.5034965034965034,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Density,increase,0.1,relative,42,True,,5020,5524,False,0,ok,True,0.100398406374502,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,5020,4517,False,0,ok,True,-0.100199203187251,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,,5020,5020,True,0,ok,True,6.748529411764704,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,True,,5020,5020,True,0,ok,True,-23.044117647058812,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,5020,5020,True,0,ok,True,0.007726052766743648,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,5020,5020,True,0,ok,True,-0.08575862050253596,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,True,,5020,5020,True,0,ok,True,0.24948665297741274,29.0,36.0,7.0,28.05761316872428,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,5020,5020,True,0,ok,True,-0.24948665297741274,29.0,22.0,-7.0,-28.05761316872428,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Centralization,increase,0.25,relative,42,True,,5020,5020,True,0,ok,True,1.6625874125874132,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Centralization,decrease,-0.25,relative,42,True,,5020,5020,True,0,ok,True,-0.7185314685314685,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Density,increase,0.25,relative,42,True,,5020,6274,False,0,ok,True,0.249800796812749,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Density,decrease,-0.25,relative,42,True,,5020,3766,False,0,ok,True,-0.249800796812749,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Bridge Trend,increase,0.25,absolute,42,True,,5020,5020,True,0,ok,True,10.142647058823528,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Bridge Trend,decrease,-0.25,absolute,42,False,insufficient cross-community non-edges to widen the bridge,5020,19676,False,13,edge_count_infeasible,False,,,,,,,
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Churn,increase,0.25,relative,42,True,,5020,5020,True,0,ok,True,0.017643731818771213,29.0,29.0,0.0,0.0,achieved,False
sx_mathoverflow,temporal_evaluation,16,persistence_bridge_width,Churn,decrease,-0.25,relative,42,True,,5020,5020,True,0,ok,True,-0.19575408971438296,29.0,29.0,0.0,0.0,achieved,False
