dataset,analysis_mode,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
sx_mathoverflow,temporal_evaluation,Bridge Width,structural,True,0,0.1,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Bridge Width,structural,True,0,-0.1,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Bridge Width,structural,True,0,0.25,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Bridge Width,structural,True,0,-0.25,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Bridge Width,structural,True,0,0.5,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Bridge Width,structural,True,0,-0.5,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Centralization,structural,True,0,0.1,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Centralization,structural,True,0,-0.1,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Centralization,structural,True,0,0.25,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Centralization,structural,True,0,-0.25,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Centralization,structural,True,0,0.5,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Centralization,structural,True,0,-0.5,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Density,structural,False,0,0.1,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Density,structural,False,0,-0.1,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Density,structural,False,0,0.25,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Density,structural,False,0,-0.25,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Density,structural,False,0,0.5,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Density,structural,False,0,-0.5,16,16,1.0,True,False
sx_mathoverflow,temporal_evaluation,Bridge Trend,temporal,True,0,0.1,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Bridge Trend,temporal,True,0,-0.1,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Bridge Trend,temporal,True,0,0.25,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Bridge Trend,temporal,True,13,-0.25,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Bridge Trend,temporal,True,0,0.5,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Bridge Trend,temporal,True,14,-0.5,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Churn,temporal,True,0,0.1,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Churn,temporal,True,0,-0.1,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Churn,temporal,True,0,0.25,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Churn,temporal,True,0,-0.25,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Churn,temporal,True,0,0.5,16,15,0.9375,False,False
sx_mathoverflow,temporal_evaluation,Churn,temporal,True,0,-0.5,16,15,0.9375,False,False
