analysis_mode,snapshot_index,label,retained_nodes,active_retained_nodes,edges,density,average_degree,max_degree,bridge_width,connected_components,is_connected
temporal_evaluation,0,d263-323,25,18,38,0.12666666666666668,3.04,11,9,8,False
temporal_evaluation,1,d323-383,25,17,35,0.11666666666666667,2.8,14,9,9,False
temporal_evaluation,2,d383-443,25,21,52,0.17333333333333334,4.16,11,19,5,False
temporal_evaluation,3,d443-503,25,22,45,0.15,3.6,10,15,5,False
temporal_evaluation,4,d503-563,25,22,38,0.12666666666666668,3.04,8,9,5,False
temporal_evaluation,5,d563-623,25,23,43,0.14333333333333334,3.44,11,12,3,False
temporal_evaluation,6,d623-683,25,24,63,0.21,5.04,13,23,2,False
temporal_evaluation,7,d683-743,25,23,63,0.21,5.04,13,18,3,False
temporal_evaluation,8,d743-803,25,24,56,0.18666666666666668,4.48,12,20,2,False
temporal_evaluation,9,d803-863,25,23,68,0.22666666666666666,5.44,15,28,3,False
temporal_evaluation,10,d863-923,25,24,70,0.23333333333333334,5.6,13,19,2,False
temporal_evaluation,11,d923-983,25,22,54,0.18,4.32,14,20,4,False
temporal_evaluation,12,d983-1043,25,13,17,0.056666666666666664,1.36,4,3,13,False
temporal_evaluation,13,d1043-1103,25,15,25,0.08333333333333333,2.0,8,7,11,False
temporal_evaluation,14,d1103-1163,25,15,23,0.07666666666666666,1.84,10,9,11,False
temporal_evaluation,15,d1163-1223,25,11,15,0.05,1.2,7,8,15,False
temporal_evaluation,16,d1223-1283,25,3,2,0.006666666666666667,0.16,2,0,23,False
temporal_evaluation,17,d1283-1343,25,3,3,0.01,0.24,2,0,23,False
