dataset,analysis_mode,transformation,property,before,after,change,delta,transformation_status,valid_for_analysis
tgbl_enron,temporal_evaluation,Bridge Width,bridge width,12.666666666666666,14.055555555555555,1.3888888888888893,0.1,ok,True
tgbl_enron,temporal_evaluation,Bridge Width,centralization,0.304951690821256,0.28482286634460546,-0.020128824476650542,0.1,ok,True
tgbl_enron,temporal_evaluation,Bridge Width,density,0.13148148148148148,0.13148148148148148,0.0,0.1,ok,True
tgbl_enron,temporal_evaluation,Bridge Width,clustering,0.3179735696402363,0.2738490768490769,-0.04412449279115943,0.1,ok,True
tgbl_enron,temporal_evaluation,Centralization,bridge width,12.666666666666666,12.666666666666666,0.0,0.1,ok,True
tgbl_enron,temporal_evaluation,Centralization,centralization,0.304951690821256,0.4232085346215781,0.11825684380032209,0.1,ok,True
tgbl_enron,temporal_evaluation,Centralization,density,0.13148148148148148,0.13148148148148148,0.0,0.1,ok,True
tgbl_enron,temporal_evaluation,Centralization,clustering,0.3179735696402363,0.34243963180495685,0.024466062164720526,0.1,ok,True
tgbl_enron,temporal_evaluation,Density,bridge width,12.666666666666666,12.666666666666666,0.0,0.1,ok,True
tgbl_enron,temporal_evaluation,Density,centralization,0.304951690821256,0.293377616747182,-0.011574074074074014,0.1,ok,True
tgbl_enron,temporal_evaluation,Density,density,0.13148148148148148,0.14444444444444443,0.012962962962962954,0.1,ok,True
tgbl_enron,temporal_evaluation,Density,clustering,0.3179735696402363,0.31170612103945433,-0.0062674486007819885,0.1,ok,True
tgbl_enron,temporal_evaluation,Bridge Trend,bridge width,12.666666666666666,6.777777777777778,-5.888888888888888,0.1,saturated,False
tgbl_enron,temporal_evaluation,Bridge Trend,centralization,0.304951690821256,0.24959742351046696,-0.055354267310789046,0.1,saturated,False
tgbl_enron,temporal_evaluation,Bridge Trend,density,0.13148148148148148,0.13148148148148148,0.0,0.1,saturated,False
tgbl_enron,temporal_evaluation,Bridge Trend,clustering,0.3179735696402363,0.29170226070226074,-0.02627130893797558,0.1,saturated,False
tgbl_enron,temporal_evaluation,Churn,bridge width,12.666666666666666,12.666666666666666,0.0,0.1,ok,True
tgbl_enron,temporal_evaluation,Churn,centralization,0.304951690821256,0.304951690821256,0.0,0.1,ok,True
tgbl_enron,temporal_evaluation,Churn,density,0.13148148148148148,0.13148148148148148,0.0,0.1,ok,True
tgbl_enron,temporal_evaluation,Churn,clustering,0.3179735696402363,0.3179735696402363,0.0,0.1,ok,True
