analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
temporal_evaluation,0,d263-323,9.0,0.12666666666666668,0.3605072463768116,0.3941818181818182
temporal_evaluation,1,d323-383,9.0,0.11666666666666667,0.5072463768115942,0.407875457875458
temporal_evaluation,2,d383-443,19.0,0.17333333333333334,0.30978260869565216,0.4083867243867244
temporal_evaluation,3,d443-503,15.0,0.15,0.2898550724637681,0.45215873015873015
temporal_evaluation,4,d503-563,9.0,0.12666666666666668,0.2246376811594203,0.21238095238095242
temporal_evaluation,5,d563-623,12.0,0.14333333333333334,0.3423913043478261,0.3906666666666666
temporal_evaluation,6,d623-683,23.0,0.21,0.3605072463768116,0.47336419136419144
temporal_evaluation,7,d683-743,18.0,0.21,0.3605072463768116,0.4434114774114775
temporal_evaluation,8,d743-803,20.0,0.18666666666666668,0.34057971014492755,0.4191544011544011
temporal_evaluation,9,d803-863,28.0,0.22666666666666666,0.4329710144927536,0.43968342768342766
temporal_evaluation,10,d863-923,19.0,0.23333333333333334,0.3351449275362319,0.48464269064269067
temporal_evaluation,11,d923-983,20.0,0.18,0.4384057971014493,0.375046287046287
temporal_evaluation,12,d983-1043,3.0,0.056666666666666664,0.11956521739130435,0.13999999999999999
temporal_evaluation,13,d1043-1103,7.0,0.08333333333333333,0.2717391304347826,0.25076190476190474
temporal_evaluation,14,d1103-1163,9.0,0.07666666666666666,0.3695652173913043,0.22133333333333333
temporal_evaluation,15,d1163-1223,8.0,0.05,0.26268115942028986,0.09047619047619047
temporal_evaluation,16,d1223-1283,0.0,0.006666666666666667,0.08333333333333333,0.0
temporal_evaluation,17,d1283-1343,0.0,0.01,0.07971014492753623,0.12
