dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,710,710,True,0,ok,True,0.10964912280701758,0.0,1.0,1.0,9.119999999999997,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,710,710,True,0,ok,True,-0.09210526315789469,0.0,1.0,1.0,10.857142857142863,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,710,710,True,0,ok,True,0.38778877887788793,0.0,0.0,0.0,0.0,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,710,710,True,0,ok,True,-0.3217821782178217,0.0,0.0,0.0,0.0,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Density,increase,0.1,relative,42,True,,710,780,False,0,ok,True,0.09859154929577475,0.0,0.0,0.0,0.0,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,710,640,False,0,ok,True,-0.09859154929577457,0.0,0.0,0.0,0.0,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",710,710,True,0,saturated,False,0.7058823529411761,0.0,0.0,0.0,0.0,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,710,794,False,5,edge_count_infeasible,False,,,,,,,
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,710,710,True,0,ok,True,0.0,0.0,0.0,0.0,0.0,requested,True
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,710,710,True,0,ok,True,-0.07139883928249097,0.0,0.0,0.0,0.0,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,True,,710,710,True,0,ok,True,0.2587719298245615,0.0,1.0,1.0,3.8644067796610155,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,710,710,True,0,ok,True,-0.2412280701754386,0.0,1.0,1.0,4.1454545454545455,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Centralization,increase,0.25,relative,42,True,,710,710,True,0,ok,True,0.4207920792079207,0.0,0.0,0.0,0.0,achieved,False
tgbl_enron,temporal_evaluation,18,persistence_bridge_width,Centralization,decrease,-0.25,relative,42,True,,710,710,True,0,ok,True,-0.6023102310231023,0.0,0.0,0.0,0.0,achieved,False
