analysis_mode,snapshot_index,label,bridge_width,density,centralization,clustering
temporal_evaluation,0,d38-48,74.0,0.031092436974789917,0.11365902293120637,0.05969589098265567
temporal_evaluation,1,d48-58,27.0,0.01134453781512605,0.04828372026776812,0.009563492063492062
temporal_evaluation,2,d58-68,7.0,0.00196078431372549,0.023643355647343683,0.0
temporal_evaluation,3,d68-78,4.0,0.0025210084033613447,0.02307363623415468,0.01944444444444444
temporal_evaluation,4,d78-88,6.0,0.002380952380952381,0.04885343968095713,0.0
temporal_evaluation,5,d88-98,6.0,0.00196078431372549,0.04073493804301381,0.0175
temporal_evaluation,6,d98-108,6.0,0.0033613445378151263,0.047856430707876374,0.02388888888888889
temporal_evaluation,7,d108-118,8.0,0.0018207282913165266,0.040877367896311065,0.0
temporal_evaluation,8,d118-128,4.0,0.0011204481792717086,0.03304372596496226,0.0
temporal_evaluation,9,d128-138,7.0,0.0018207282913165266,0.040877367896311065,0.0
temporal_evaluation,10,d138-148,3.0,0.0008403361344537816,0.016237003275886626,0.0
temporal_evaluation,11,d148-158,1.0,0.0005602240896358543,0.007976071784646061,0.0
temporal_evaluation,12,d158-168,2.0,0.00028011204481792715,0.008260931491240565,0.0
temporal_evaluation,13,d168-178,1.0,0.0005602240896358543,0.007976071784646061,0.0
temporal_evaluation,14,d178-188,1.0,0.00028011204481792715,0.008260931491240565,0.0
temporal_evaluation,15,d188-198,2.0,0.00028011204481792715,0.008260931491240565,0.0
