dataset,analysis_mode,snapshot_count,model,transformation,direction,requested_delta,delta_mode,seed,feasible,infeasible_reason,edge_count_before,edge_count_after,edge_count_preserved,snapshots_violating_edge_count,transformation_status,valid_for_analysis,achieved_delta,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Bridge Width,increase,0.1,relative,42,True,,444,444,True,0,ok,True,0.10062893081761007,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Bridge Width,decrease,-0.1,relative,42,True,,444,444,True,0,ok,True,-0.10062893081761007,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Centralization,increase,0.1,relative,42,True,,444,444,True,0,ok,True,0.6930693069306926,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Centralization,decrease,-0.1,relative,42,True,,444,444,True,0,ok,True,-0.3135313531353136,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Density,increase,0.1,relative,42,True,,444,486,False,0,ok,True,0.0945945945945946,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Density,decrease,-0.1,relative,42,True,,444,402,False,0,ok,True,-0.0945945945945946,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Bridge Trend,increase,0.1,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",444,444,True,0,saturated,False,0.5191176470588239,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Bridge Trend,decrease,-0.1,absolute,42,False,insufficient intra-community edges to preserve total edge count,444,461,False,3,edge_count_infeasible,False,,,,,,,
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Churn,increase,0.1,relative,42,True,,444,444,True,0,ok,True,0.0,2.0,2.0,0.0,0.0,requested,True
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Churn,decrease,-0.1,relative,42,True,,444,444,True,0,ok,True,0.0,2.0,2.0,0.0,0.0,requested,True
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Bridge Width,increase,0.25,relative,42,True,,444,444,True,0,ok,True,0.25157232704402516,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Bridge Width,decrease,-0.25,relative,42,True,,444,444,True,0,ok,True,-0.25157232704402516,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Centralization,increase,0.25,relative,42,True,,444,444,True,0,ok,True,1.7986798679867984,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Centralization,decrease,-0.25,relative,42,True,,444,444,True,0,ok,True,-0.5280528052805281,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Density,increase,0.25,relative,42,True,,444,554,False,0,ok,True,0.24774774774774774,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Density,decrease,-0.25,relative,42,True,,444,337,False,0,ok,True,-0.240990990990991,2.0,2.0,0.0,0.0,achieved,False
tgbl_uci,temporal_evaluation,16,persistence_bridge_width,Bridge Trend,increase,0.25,absolute,42,True,"bridge widths clamped to the width-1 floor, so the intended trend shape was not realised",444,444,True,0,saturated,False,0.875,2.0,2.0,0.0,0.0,achieved,False
