dataset,analysis_mode,transformation,family,claims_edge_count_preservation,snapshots_edge_count_changed,requested_delta,snapshots,snapshots_modified,modified_fraction,last_snapshot_modified,structurally_blocked
tgbl_uci,temporal_evaluation,Bridge Width,structural,True,0,0.1,16,8,0.5,False,True
tgbl_uci,temporal_evaluation,Bridge Width,structural,True,0,-0.1,16,8,0.5,False,True
tgbl_uci,temporal_evaluation,Bridge Width,structural,True,0,0.25,16,11,0.6875,False,True
tgbl_uci,temporal_evaluation,Bridge Width,structural,True,0,-0.25,16,11,0.6875,False,True
tgbl_uci,temporal_evaluation,Bridge Width,structural,True,2,0.5,16,16,1.0,True,False
tgbl_uci,temporal_evaluation,Bridge Width,structural,True,0,-0.5,16,13,0.8125,True,False
tgbl_uci,temporal_evaluation,Centralization,structural,True,0,0.1,16,11,0.6875,False,True
tgbl_uci,temporal_evaluation,Centralization,structural,True,0,-0.1,16,11,0.6875,False,True
tgbl_uci,temporal_evaluation,Centralization,structural,True,0,0.25,16,13,0.8125,False,True
tgbl_uci,temporal_evaluation,Centralization,structural,True,0,-0.25,16,13,0.8125,False,True
tgbl_uci,temporal_evaluation,Centralization,structural,True,0,0.5,16,16,1.0,True,False
tgbl_uci,temporal_evaluation,Centralization,structural,True,0,-0.5,16,16,1.0,True,False
tgbl_uci,temporal_evaluation,Density,structural,False,0,0.1,16,11,0.6875,False,True
tgbl_uci,temporal_evaluation,Density,structural,False,0,-0.1,16,11,0.6875,False,True
tgbl_uci,temporal_evaluation,Density,structural,False,0,0.25,16,13,0.8125,False,True
tgbl_uci,temporal_evaluation,Density,structural,False,0,-0.25,16,13,0.8125,False,True
tgbl_uci,temporal_evaluation,Density,structural,False,0,0.5,16,16,1.0,True,False
tgbl_uci,temporal_evaluation,Density,structural,False,0,-0.5,16,14,0.875,False,True
tgbl_uci,temporal_evaluation,Bridge Trend,temporal,True,0,0.1,16,11,0.6875,False,False
tgbl_uci,temporal_evaluation,Bridge Trend,temporal,True,3,-0.1,16,12,0.75,False,False
tgbl_uci,temporal_evaluation,Bridge Trend,temporal,True,0,0.25,16,12,0.75,False,False
tgbl_uci,temporal_evaluation,Bridge Trend,temporal,True,12,-0.25,16,14,0.875,False,False
tgbl_uci,temporal_evaluation,Bridge Trend,temporal,True,0,0.5,16,12,0.75,False,False
tgbl_uci,temporal_evaluation,Bridge Trend,temporal,True,13,-0.5,16,15,0.9375,False,False
tgbl_uci,temporal_evaluation,Churn,temporal,True,0,0.1,16,0,0.0,False,False
tgbl_uci,temporal_evaluation,Churn,temporal,True,0,-0.1,16,0,0.0,False,False
tgbl_uci,temporal_evaluation,Churn,temporal,True,0,0.25,16,0,0.0,False,False
tgbl_uci,temporal_evaluation,Churn,temporal,True,0,-0.25,16,0,0.0,False,False
tgbl_uci,temporal_evaluation,Churn,temporal,True,0,0.5,16,0,0.0,False,False
tgbl_uci,temporal_evaluation,Churn,temporal,True,0,-0.5,16,0,0.0,False,False
